Type,Time,Data
PPG_RED,1476917.5242766,126509.0
PPG_IR,1476917.6570886,178337.0
PPG_GRN,1476917.7911312,8367.0
TEMP1,1476917.824235,33.61199951171875
EDA,1476917.8241277,0.28022199869155884
PPG_IR,1476917.6571558,178361.0
PPG_RED,1476917.6572453,126496.0
PPG_RED,1476917.6573556,126498.0
PPG_RED,1476917.6574026,126514.0
PPG_RED,1476917.7910564,126510.0
PPG_RED,1476917.7910941,126530.0
PPG_RED,1476917.8238657,126536.0
PPG_RED,1476917.8239097,126568.0
PPG_RED,1476917.8239476,126594.0
EDA,1476917.8241742,0.2803240120410919
PPG_IR,1476917.6571963,178391.0
PPG_GRN,1476917.791171,8374.0
PPG_GRN,1476917.823992,8385.0
TEMP1,1476917.9241197,33.72600173950195
EDA,1476917.9240373,0.2805269956588745
PPG_RED,1476917.9238151,126597.0
PPG_GRN,1476917.8240369,8411.0
PPG_IR,1476917.790977,178459.0
PPG_RED,1476917.9238578,126634.0
PPG_IR,1476917.7910184,178550.0
PPG_IR,1476917.8237188,178641.0
PPG_GRN,1476917.8240768,8424.0
PPG_IR,1476917.8237766,178748.0
PPG_GRN,1476917.9239027,8430.0
PPG_IR,1476917.8238186,178825.0
PPG_RED,1476918.0239661,126657.0
TEMP1,1476918.0243349,33.70399856567383
PPG_GRN,1476917.9239742,8461.0
EDA,1476918.0242302,0.28069600462913513
PPG_RED,1476918.0240148,126654.0
PPG_IR,1476917.9237691,179026.0
EDA,1476918.024277,0.28086599707603455
PPG_GRN,1476918.0241006,8475.0
PPG_RED,1476918.0240532,126534.0
PPG_IR,1476918.0237528,179115.0
PPG_GRN,1476918.0241441,8508.0
PPG_IR,1476918.0237957,179138.0
PPG_IR,1476918.0238741,178720.0
PPG_GRN,1476918.0241821,8461.0
TEMP1,1476918.2928748,33.624000549316406
PPG_RED,1476918.2907143,126466.0
EDA,1476918.290951,0.2810240089893341
PPG_IR,1476918.2906178,178354.0
PPG_GRN,1476918.2907971,8429.0
PPG_RED,1476918.2907559,126450.0
PPG_GRN,1476918.2908932,8383.0
TEMP1,1476918.3241154,33.65999984741211
EDA,1476918.292783,0.2812280058860779
PPG_IR,1476918.2906692,178307.0
PPG_GRN,1476918.2926605,8371.0
PPG_GRN,1476918.2927006,8351.0
PPG_GRN,1476918.2927369,8351.0
EDA,1476918.2928243,0.2813990116119385
EDA,1476918.3240563,0.28158101439476013
PPG_RED,1476918.2925503,126432.0
PPG_IR,1476918.2924352,178299.0
PPG_GRN,1476918.323966,8342.0
PPG_IR,1476918.292473,178298.0
PPG_RED,1476918.2925874,126437.0
PPG_IR,1476918.2925116,178322.0
PPG_RED,1476918.29262,126449.0
PPG_GRN,1476918.3240095,8335.0
PPG_IR,1476918.3236793,178380.0
PPG_RED,1476918.3238105,126453.0
EDA,1476918.4580286,0.2817400097846985
PPG_GRN,1476918.457844,8339.0
TEMP1,1476918.458199,33.63999938964844
PPG_RED,1476918.3239153,126457.0
PPG_GRN,1476918.457898,8340.0
EDA,1476918.4581047,0.28194499015808105
PPG_GRN,1476918.4579499,8335.0
PPG_IR,1476918.3237623,178371.0
PPG_RED,1476918.4576847,126452.0
PPG_RED,1476918.4577419,126445.0
PPG_IR,1476918.4574028,178356.0
PPG_RED,1476918.4577886,126440.0
PPG_IR,1476918.4574597,178381.0
PPG_IR,1476918.4576022,178405.0
PPG_RED,1476918.5906987,126441.0
PPG_GRN,1476918.5910835,8342.0
PPG_IR,1476918.5905468,178447.0
PPG_RED,1476918.5907803,126460.0
PPG_RED,1476918.5909576,126469.0
TEMP1,1476918.5915079,33.66699981689453
PPG_GRN,1476918.5911906,8361.0
EDA,1476918.5913512,0.28211599588394165
PPG_IR,1476918.5905898,178534.0
PPG_GRN,1476918.5912637,8370.0
EDA,1476918.5914521,0.2822650074958801
PPG_IR,1476918.590628,178597.0
PPG_IR,1476918.6909544,178664.0
EDA,1476918.6918083,0.2824940085411072
PPG_RED,1476918.6912468,126498.0
PPG_GRN,1476918.6915739,8381.0
PPG_RED,1476918.6913547,126491.0
EDA,1476918.6918871,0.2826310098171234
TEMP1,1476918.6919881,33.78499984741211
PPG_RED,1476918.6914358,126516.0
PPG_GRN,1476918.6916687,8392.0
PPG_IR,1476918.6910278,178782.0
PPG_GRN,1476918.6917327,8422.0
PPG_IR,1476918.6911645,178868.0
PPG_IR,1476918.7908989,178652.0
EDA,1476918.7917486,0.28281399607658386
PPG_RED,1476918.7911487,126479.0
PPG_IR,1476918.7909955,178253.0
PPG_GRN,1476918.791467,8408.0
PPG_RED,1476918.7912246,126387.0
PPG_IR,1476918.791068,178142.0
PPG_RED,1476918.7913439,126347.0
PPG_GRN,1476918.791552,8352.0
PPG_GRN,1476918.7916496,8325.0
PPG_IR,1476918.8904706,178104.0
PPG_RED,1476918.8905862,126348.0
EDA,1476918.8908474,0.28296399116516113
TEMP1,1476918.8909685,33.80099868774414
PPG_RED,1476918.8906666,126315.0
PPG_GRN,1476918.8907208,8286.0
PPG_IR,1476918.8905433,178116.0
EDA,1476918.8909047,0.28312501311302185
PPG_GRN,1476918.8907622,8279.0
TEMP1,1476918.9907563,33.77199935913086
PPG_GRN,1476918.9906077,8251.0
PPG_RED,1476918.9904541,126326.0
PPG_IR,1476918.9903334,178112.0
EDA,1476918.9906969,0.2832860052585602
PPG_IR,1476918.9904111,178136.0
PPG_RED,1476918.9905539,126325.0
PPG_GRN,1476918.9906515,8239.0
EDA,1476919.2242646,0.28348198533058167
PPG_RED,1476919.2240222,126329.0
TEMP1,1476919.2243643,33.75899887084961
PPG_GRN,1476919.2241439,8263.0
EDA,1476919.2243086,0.2835969924926758
PPG_RED,1476919.2240691,126314.0
PPG_GRN,1476919.224184,8230.0
PPG_GRN,1476919.2242196,8236.0
PPG_RED,1476919.2241029,126294.0
PPG_IR,1476919.2239215,178151.0
PPG_IR,1476919.2239763,178154.0
TEMP1,1476919.2921506,33.790000915527344
PPG_GRN,1476919.2905356,8226.0
EDA,1476919.290618,0.2837820053100586
PPG_IR,1476919.2903685,178157.0
PPG_RED,1476919.2904589,126325.0
EDA,1476919.2920638,0.283966988325119
