situationoeil,timestamp,emotionsResentis,commentaires
"false",33572,"Peur",""
"true",49246,"Colère",""
"false",61197,"Tristesse",""
"false",78855,"Tristesse",""
"false",90206,"Dégout",""
"undefined",104165,"Tristesse",""
"undefined",116396,"Dégout",""
"undefined",132266,"Surprise",""
"undefined",145738,"Colère",""
"undefined",162864,"Colère",""
"undefined",174984,"Peur",""
"undefined",187541,"Dégout",""
"undefined",200449,"Joie",""
"undefined",214331,"Joie",""
"undefined",227733,"Surprise",""
"undefined",244097,"Tristesse",""
"undefined",255081,"Surprise",""
"undefined",269870,"Surprise",""
"undefined",284127,"Tristesse",""
"undefined",295437,"Tristesse",""
