EDA_mean,EDA_std,PPG_GRN_mean,PPG_GRN_std,PPG_IR_mean,PPG_IR_std,PPG_RED_mean,PPG_RED_std,TEMP1_mean,TEMP1_std,PPG_RED_HR_mean,PPG_RED_HR_std,PPG_RED_IBI_mean,PPG_RED_IBI_std,PPG_IR_HR_mean,PPG_IR_HR_std,PPG_IR_IBI_mean,PPG_IR_IBI_std,PPG_GRN_HR_mean,PPG_GRN_HR_std,PPG_GRN_IBI_mean,PPG_GRN_IBI_std,PPG_RED_brut_mean,PPG_RED_brut_std,PPG_IR_brut_mean,PPG_IR_brut_std,PPG_GRN_brut_mean,PPG_GRN_brut_std,TEMP1_brut_mean,TEMP1_brut_std,PPG_RED_HR_brut_mean,PPG_RED_HR_brut_std,PPG_GRN_HR_brut_mean,PPG_GRN_HR_brut_std,PPG_IR_HR_brut_mean,PPG_IR_HR_brut_std,PPG_RED_IBI_brut_mean,PPG_RED_IBI_brut_std,PPG_GRN_IBI_brut_mean,PPG_GRN_IBI_brut_std,PPG_IR_IBI_brut_mean,PPG_IR_IBI_brut_std,valence,arousal
0.32812415998774574,-0.815664329843458,-0.0014217958872795625,-0.5620819276679032,0.0018799577098997588,-0.8801490085615866,-0.010940264825182315,-0.9303921049819642,0.010245164223900757,-0.825617170295197,0.002493643028800928,-0.935430769659663,-0.0026038909425076533,-0.9390291282898018,0.061234473122076194,-0.9516470041150169,-0.07434370769114607,-0.9625316663491258,0.012677318014761846,-0.9986491485017359,-0.01421902414649686,-0.9987694343580137,-0.01080346747178215,-0.9355610845081955,0.0018850296375297535,-0.8745259646722529,-0.0008999031052627225,-0.5611856834103354,0.010490973684394386,-0.6788231510613354,0.002089012416615366,-0.8439593086100075,0.008431252947490444,-0.9999998301593261,0.05226311666520289,-0.9999999468822306,-0.002201149949695274,-0.8558963450117923,-0.009612828553491078,-0.999923134366254,-0.06375907659069159,-0.9999794476962325,1.0,-1.0
0.7188210911618388,-0.883928168076003,0.004592761447686541,-0.5484929314001085,0.0004487294950424014,-0.898048905294293,-0.009927575500853924,-0.8759352314466818,0.01973855344779611,-0.7824230488481299,0.00282637147492348,-0.9989077737044736,-0.0029368260170368173,-0.9984054589869464,0.05660335536713077,-0.9177258537411572,-0.06983509609219261,-0.9349382185310117,0.007779191466120779,-0.7370780614592797,-0.009023957099515777,-0.7608107103490538,-0.01001175304552932,-0.8723610850916179,0.0003218040884980899,-0.8920615301762642,0.005601144083458834,-0.5559477155394695,0.020056674980021658,-0.6523327545415861,0.002447228355278889,-0.9999994759097585,0.00410245741788532,-0.42220108647360083,0.042930774533233566,-0.6911730470615859,-0.0025602703238993257,-0.9997358200801114,-0.004983975154669576,-0.4831586137587851,-0.05437364987828875,-0.7548396379137643,1.0,1.0
0.8705178808341595,-0.7823064591737702,0.006429656085507097,-0.7387716999360447,-0.002259369199675347,-0.9056106604061712,-0.02058638902196216,-0.948154451603238,0.03010599513325241,-0.9036379685281649,-0.0037332549919005995,0.4539639219873715,0.004314893754856214,0.508354673462472,0.057938401184336075,-0.9213828936895463,-0.0711927658404456,-0.9393931964953003,0.006270917122875699,-0.6862867699434443,-0.007353152563312146,-0.7099283691127615,-0.020500031032345857,-0.9466281930198102,-0.002192067359674619,-0.9040241822533879,0.007056179616631877,-0.731811038393568,0.030102593815978088,-0.7090666314834196,-0.0019453627909689635,1.04554184530038,0.007892104375016923,-0.9280353851527064,0.05226311666520289,-0.9999999468822306,0.002324021057229551,1.0916568553729253,-0.009077894733960257,-0.9402032005103095,-0.06375907659069159,-0.9999794476962325,1.0,-1.0
0.9687125749336729,-0.8155635835163831,-0.031049728044750435,-0.7628273512038877,0.0016787852727866263,-0.9446777429211355,-0.013070905180892363,-0.9669498162729739,0.034462573598037685,-0.7872855767514918,-0.006655866833074277,0.9301576497726018,0.00741966972846113,0.9770721832348697,0.03982570399638101,-0.8517259275502272,-0.05478760916753425,-0.8876413066641877,-0.0010901115333946066,-0.47556849141637547,0.0006337082623991463,-0.5140892471459886,-0.013002149069496255,-0.9621780749907939,0.0017244986356839181,-0.936534938584925,-0.030253734637525277,-0.7602013102839476,0.034575349457487664,-0.6909357371863313,-0.008215395447604414,1.7980971203855007,-0.007727575022612045,0.14112290019318943,0.03497797020344244,-0.7177233865671029,0.009080766017298169,1.837932686383968,0.007960851433002538,0.04073560803904248,-0.04729639771892269,-0.781594976164029,-1.0,-1.0
2.25098757658753,-0.838004376781473,-0.01742635156644809,-0.8807966408741668,-0.0031494995087155957,-0.9257326000734792,-0.011666636749065758,-0.9668206379613712,0.049945962186526846,-0.7986414172109219,0.0020147405267971334,-0.7942861667860316,-0.0020816305060325823,-0.7967343399392557,0.0626763616943408,-0.9829831368853408,-0.0758014163458732,-0.9876369655110415,0.01242778332103016,-0.9865436607235059,-0.013945387182431285,-0.9873632248166401,-0.011639026814868645,-0.9632029397672428,-0.0032313582407059466,-0.9218951348366262,-0.017419124447894722,-0.8459863703188355,0.05018901681127291,-0.6273043861844687,0.002447228355278889,-0.9999994759097584,0.0084312529474906,-0.9999998301593211,0.05226311666520289,-0.9999999468822306,-0.0025602703238993257,-0.9997358200801114,-0.009612828553491078,-0.999923134366254,-0.06375907659069159,-0.9999794476962325,-1.0,1.0
2.510514537575863,-0.8614075928178623,-0.02368996674782781,-0.8905586194009865,-0.004615634680137688,-0.9608217074714672,-0.014448083629452881,-0.9785893969486344,0.051166317969055616,-0.8494928527169946,0.0013824728090698567,-0.7488065137165074,-0.0014896481948196202,-0.7637239883539162,0.04292664854051353,-0.6423842817571425,-0.05562505980029373,-0.7036268971788291,-8.239185091491012e-06,-0.5016528849860449,-0.0010061164977123475,-0.5518041721946827,-0.014412616123587303,-0.969420369346592,-0.004645553253965756,-0.9464311858314371,-0.02358174667608614,-0.8537637846023599,0.0512815816719795,-0.6667221990464914,0.001402542167173902,-0.7028084526672554,0.0015124616447962514,-0.35946897007502104,0.015816897016134555,-0.34450806459081784,-0.0015104814900260468,-0.7248955560919673,-0.0023315936951506973,-0.4311660007957213,-0.025217321725934425,-0.4470654083244874,1.0,-1.0
2.854299607705676,-0.8465042636222003,-0.030144620080691378,-0.8999201232206162,-0.006456190312574163,-0.9703762881946142,-0.01648768901240947,-0.9695554221934589,0.05543682153971645,-0.935230837544574,-0.0016798023751080809,0.024649976503107816,0.0018233805295181842,0.015670853330465594,-0.17373816263265632,-0.7843371733416996,0.1925493560598194,-0.7690211130395087,0.012680694793745584,-0.9982626272753068,-0.014220147084831962,-0.9983533006997042,-0.01639108089339685,-0.9615446501854783,-0.0064266908382627635,-0.9536282731685105,-0.02976627160693295,-0.8570141846023154,0.05520941965285993,-0.7541400290949531,-0.0005197878410189699,0.2364019135188761,0.008372328680559253,-0.9919304178513787,-0.19785981473485337,-0.734119158561079,0.0005733856408515383,0.20856549330962254,-0.009554891098849863,-0.9932869740188598,0.22968096070137106,-0.6730629196719675,1.0,-1.0
3.0649670076796336,-0.8543745112860383,-0.03903310411582685,-0.8036785775846778,-0.007705138905699715,-0.948292944274916,-0.01650417099809413,-0.9616957123190487,0.06071014537731562,-0.8151777983730524,0.002410027545277469,-0.8863385980531395,-0.002505817347404957,-0.8893987390825225,-0.3575993922518418,-0.8411007549092744,0.5324499808956874,-0.6849667495721038,-0.003187542366298954,-0.6265280410620103,0.002455597177963888,-0.6515847252159086,-0.016393598473613828,-0.9547278562322107,-0.007626848524562782,-0.9320764223388561,-0.03813452600267512,-0.7690560303746538,0.06066678390304321,-0.6784707282846631,0.0024472283552790454,-0.9999994759097431,-0.006571156003161846,0.06541651168261688,-0.36536022918933964,-0.7123373593303938,-0.0025602703238993257,-0.9997358200801114,0.006632145332152662,0.0020128534320039116,0.5558065088337504,-0.43796680346625805,1.0,1.0
3.426726947757615,-0.843281551535813,-0.030583236928782183,-0.8832335802536107,-0.006702982128914561,-0.9480525441918283,-0.01590831614877582,-0.9590653739365894,0.06496384433346784,-0.8206749168777376,-0.010633571947049668,1.1634936013861985,0.01259346802750083,1.335514884784134,0.024818574112704727,-0.7644271364308606,-0.038530015027557075,-0.8076415656461898,0.004429811208099071,-0.5324837196398834,-0.004990643470299135,-0.5495622117252522,-0.015809098355147242,-0.9539420693185485,-0.00664997817432218,-0.9345114518181656,-0.030036592637380788,-0.846004348623178,0.06521923639389193,-0.656712198581324,-0.011510697651029876,3.083798459653154,0.0012318468459576587,-0.06886987888868489,0.029684542184667068,-0.5988911827814482,0.013574492531130796,3.3408984909019486,-0.001489448934667678,-0.11262264659130315,-0.041485650708762284,-0.6772806157709067,1.0,1.0
3.746784162374201,-0.8526202228358956,-0.03195848495417974,-0.909497028450308,-0.007020767859692668,-0.9618258360393069,-0.015971310655373046,-0.9748442017706704,0.06764285007936782,-0.9241359707175838,-0.009987430041189073,1.2843605233098596,0.011649007011854786,1.4343078739478023,0.051060456718820584,-0.8624259037467886,-0.06434850858050468,-0.889542430872768,-0.02295933972610155,-0.007342219798229003,0.025863969518257063,-0.026397840928054906,-0.01588866886440889,-0.966605981136854,-0.00696673645498972,-0.946089925719042,-0.03165028757842341,-0.8666367911143271,0.06750241568260691,-0.7300805651400403,-0.010698757421255815,2.4560058225136614,-0.015052777308879462,0.516272472208856,0.03913211592052647,-0.6482589202508456,0.012136087138608961,2.595454566512345,0.01674056538385365,0.46727581452827177,-0.05057243164714221,-0.7131363762288815,-1.0,1.0
