situationoeil,timestamp,emotionsResentis,commentaires
"false",40186,"Colère",""
"false",57632,"Colère",""
"false",86720,"Tristesse",""
"true",96507,"Tristesse",""
"false",109650,"Tristesse",""
"undefined",168739,"Surprise",""
"undefined",183642,"Dégout",""
"undefined",194270,"Tristesse",""
"undefined",203740,"Surprise",""
"undefined",218890,"Joie","sérénité"
"undefined",269505,"Surprise",""
"undefined",337432,"Joie",""
"undefined",346959,"Joie",""
"undefined",355553,"Joie",""
"undefined",363818,"Surprise",""
"undefined",382945,"Joie",""
"undefined",391500,"Surprise",""
"undefined",401140,"Surprise",""
"undefined",415772,"Surprise",""
"undefined",445977,"Surprise",""
