Type,Time,Data
PPG_RED,1564660.2600947,124916.0
96368
EDA,1564660.2605238,0.14719299972057343
PPG_GRN,1564660.2602787,6593.0
PPG_IR,1564660.2599453,171149.0
PPG_RED,1564660.260169,124903.0
PPG_GRN,1564660.2603558,6569.0
TEMP1,1564660.2980475,32.590999603271484
PPG_IR,1564660.2600243,171136.0
EDA,1564660.2944142,0.14676900207996368
PPG_GRN,1564660.2943062,6593.0
EDA,1564660.294471,0.14719299972057343
TEMP1,1564660.3268872,32.57500076293945
PPG_IR,1564660.2938337,171149.0
PPG_RED,1564660.2941722,124916.0
EDA,1564660.2979629,0.14757299423217773
PPG_GRN,1564660.2943577,6569.0
PPG_RED,1564660.2942545,124903.0
PPG_IR,1564660.2940468,171136.0
PPG_GRN,1564660.2976986,6575.0
TEMP1,1564660.4280487,32.638999938964844
PPG_RED,1564660.2972633,124930.0
PPG_IR,1564660.2968386,171124.0
EDA,1564660.3267856,0.14799000322818756
PPG_RED,1564660.2974134,124936.0
PPG_IR,1564660.2969716,171133.0
EDA,1564660.326832,0.14836199581623077
PPG_GRN,1564660.2978141,6584.0
PPG_IR,1564660.2971204,171133.0
PPG_RED,1564660.2975578,124932.0
PPG_GRN,1564660.2978882,6562.0
EDA,1564660.4278091,0.14869700372219086
PPG_IR,1564660.3264613,171145.0
PPG_GRN,1564660.3266559,6588.0
EDA,1564660.4279211,0.14907300472259521
PPG_RED,1564660.3265707,124948.0
PPG_GRN,1564660.3266976,6597.0
PPG_IR,1564660.3265231,171218.0
PPG_GRN,1564660.4275311,6589.0
EDA,1564660.5288677,0.14946599304676056
PPG_IR,1564660.4271078,171250.0
TEMP1,1564660.6286437,32.560001373291016
PPG_RED,1564660.3266121,124983.0
PPG_GRN,1564660.4276256,6621.0
PPG_RED,1564660.4273409,125009.0
EDA,1564660.6282679,0.14983199536800385
PPG_IR,1564660.4272168,171283.0
PPG_RED,1564660.4274158,125034.0
PPG_IR,1564660.4272858,171368.0
PPG_GRN,1564660.4277095,6641.0
PPG_RED,1564660.4274639,125055.0
EDA,1564660.6284172,0.15019400417804718
TEMP1,1564660.7283506,32.63199996948242
PPG_GRN,1564660.5284845,6648.0
EDA,1564660.7282244,0.15052099525928497
PPG_IR,1564660.5278769,171413.0
PPG_RED,1564660.5281634,125079.0
PPG_RED,1564660.5282888,125071.0
PPG_RED,1564660.6273105,125042.0
PPG_RED,1564660.627377,125013.0
PPG_RED,1564660.6275307,124972.0
PPG_GRN,1564660.5286571,6649.0
PPG_GRN,1564660.6277462,6617.0
PPG_IR,1564660.5280285,171362.0
PPG_RED,1564660.727918,124963.0
PPG_GRN,1564660.6278945,6581.0
EDA,1564660.8284439,0.15080499649047852
TEMP1,1564660.8289434,32.52199935913086
PPG_IR,1564660.62711,171268.0
PPG_RED,1564660.7279917,124956.0
PPG_GRN,1564660.6280636,6527.0
PPG_RED,1564660.8276295,124963.0
EDA,1564660.8286761,0.15109500288963318
PPG_IR,1564660.6271907,171121.0
PPG_IR,1564660.6272479,171014.0
PPG_RED,1564660.8278141,124968.0
PPG_GRN,1564660.7280664,6520.0
PPG_IR,1564660.7277455,170923.0
PPG_RED,1564660.8280254,124980.0
EDA,1564660.9280879,0.15139099955558777
PPG_IR,1564660.7278393,170864.0
PPG_RED,1564660.927545,125004.0
EDA,1564660.932512,0.15139099955558777
PPG_IR,1564660.827335,170816.0
PPG_RED,1564660.9277232,125036.0
PPG_GRN,1564660.7281425,6503.0
PPG_IR,1564660.8274327,170828.0
PPG_RED,1564660.931613,125004.0
PPG_GRN,1564660.8281526,6489.0
PPG_RED,1564660.9318195,125036.0
PPG_IR,1564660.8275265,170818.0
PPG_GRN,1564660.8282511,6489.0
PPG_GRN,1564660.8283384,6498.0
PPG_IR,1564660.9273241,170842.0
PPG_GRN,1564660.9278705,6504.0
TEMP1,1564661.0272463,32.54499816894531
EDA,1564661.0271346,0.15170100331306458
PPG_RED,1564661.0267246,125063.0
PPG_GRN,1564660.9279774,6516.0
PPG_IR,1564660.9274416,170846.0
PPG_RED,1564661.0268138,125116.0
PPG_IR,1564660.9314124,170842.0
EDA,1564661.0271908,0.1519089937210083
PPG_GRN,1564660.9320826,6504.0
PPG_RED,1564661.0268944,125148.0
PPG_IR,1564660.9315049,170846.0
PPG_GRN,1564660.9322692,6516.0
TEMP1,1564661.12687,32.55500030517578
PPG_RED,1564661.1265908,125190.0
PPG_IR,1564661.0265237,170899.0
PPG_GRN,1564661.0269917,6528.0
EDA,1564661.1267963,0.15212100744247437
PPG_RED,1564661.1266386,125240.0
PPG_GRN,1564661.0270418,6547.0
PPG_GRN,1564661.0270831,6560.0
PPG_IR,1564661.0265931,170942.0
PPG_GRN,1564661.1266892,6587.0
PPG_IR,1564661.0266519,171027.0
PPG_GRN,1564661.1267393,6602.0
PPG_IR,1564661.126475,171107.0
PPG_IR,1564661.1265348,171196.0
PPG_GRN,1564661.2932014,6631.0
PPG_RED,1564661.2930908,125291.0
