situationoeil,timestamp,emotionsResentis,commentaires
"false",39219,"Surprise",""
"false",58340,"Dégout",""
"false",71559,"Dégout",""
"false",81385,"Tristesse",""
"false",92919,"Surprise",""
"undefined",124165,"Tristesse",""
"undefined",133692,"Peur",""
"undefined",142785,"Surprise",""
"undefined",156640,"Dégout",""
"undefined",171996,"Tristesse",""
"undefined",186888,"Peur",""
"undefined",198108,"Joie",""
"undefined",206868,"Joie",""
"undefined",216238,"Joie",""
"undefined",224862,"Joie",""
"undefined",233980,"Joie",""
"undefined",242607,"Surprise",""
"undefined",251271,"Surprise",""
"undefined",260368,"Surprise",""
"undefined",269227,"Surprise",""
