Type,Time,Data
TEMP1,1552001.3241891,32.974998474121094
PPG_IR,1552001.3226211,174830.0
EDA,1552001.3239212,0.27070000767707825
PPG_RED,1552001.3230067,117567.0
PPG_GRN,1552001.3236063,5105.0
EDA,1552001.3276084,0.2708370089530945
PPG_RED,1552001.3231428,117556.0
PPG_IR,1552001.3227149,174882.0
PPG_GRN,1552001.3237208,5121.0
EDA,1552001.3277188,0.2710680067539215
PPG_IR,1552001.322821,174916.0
PPG_GRN,1552001.3272686,5109.0
TEMP1,1552001.4236178,33.060001373291016
EDA,1552001.4233972,0.27109000086784363
PPG_IR,1552001.3265576,174954.0
PPG_RED,1552001.3232431,117597.0
PPG_GRN,1552001.3274642,5125.0
PPG_IR,1552001.3267397,174949.0
PPG_RED,1552001.3269095,117589.0
PPG_GRN,1552001.4228221,5122.0
PPG_GRN,1552001.422957,5110.0
PPG_IR,1552001.4220853,174912.0
PPG_GRN,1552001.4231741,5069.0
PPG_RED,1552001.3270623,117606.0
EDA,1552001.522499,0.2711949944496155
PPG_GRN,1552001.5221605,5062.0
TEMP1,1552001.5229028,32.91999816894531
PPG_IR,1552001.422186,174834.0
PPG_GRN,1552001.5222881,5044.0
EDA,1552001.5226852,0.2713010013103485
PPG_RED,1552001.4223631,117577.0
PPG_IR,1552001.4222584,174749.0
PPG_IR,1552001.5219084,174689.0
PPG_RED,1552001.4224649,117565.0
PPG_IR,1552001.521953,174620.0
PPG_RED,1552001.4226116,117534.0
PPG_RED,1552001.5220617,117522.0
PPG_RED,1552001.5221041,117521.0
PPG_RED,1552001.7890627,117500.0
EDA,1552001.7893951,0.2713640034198761
PPG_GRN,1552001.789261,5012.0
PPG_IR,1552001.7888673,174552.0
PPG_RED,1552001.7891275,117475.0
TEMP1,1552001.7895994,33.0359992980957
EDA,1552001.78948,0.27152198553085327
PPG_GRN,1552001.7893075,5031.0
PPG_RED,1552001.7891959,117497.0
PPG_IR,1552001.7889392,174518.0
PPG_GRN,1552001.7893456,5022.0
TEMP1,1552001.824833,33.05099868774414
EDA,1552001.8226241,0.27167099714279175
PPG_RED,1552001.8224108,117469.0
TEMP1,1552001.9224278,33.02199935913086
PPG_GRN,1552001.822532,5013.0
PPG_IR,1552001.7889917,174493.0
PPG_RED,1552001.8224787,117491.0
EDA,1552001.8247353,0.27181899547576904
PPG_GRN,1552001.8225763,4990.0
PPG_IR,1552001.822293,174480.0
PPG_RED,1552001.8244755,117490.0
PPG_GRN,1552001.8246093,5022.0
PPG_IR,1552001.822334,174490.0
PPG_RED,1552001.8245306,117483.0
EDA,1552001.8247782,0.2719779908657074
TEMP1,1552002.0228929,32.9739990234375
PPG_GRN,1552001.8246514,5007.0
PPG_RED,1552001.8245658,117507.0
PPG_IR,1552001.8243513,174478.0
PPG_RED,1552001.9220813,117507.0
PPG_IR,1552001.8243927,174501.0
PPG_GRN,1552001.8246886,5009.0
EDA,1552001.92235,0.27213698625564575
PPG_RED,1552001.922126,117525.0
PPG_GRN,1552001.9221738,5019.0
EDA,1552002.0227706,0.2723180055618286
PPG_IR,1552001.8244348,174503.0
PPG_RED,1552002.0224188,117535.0
PPG_GRN,1552001.9222485,5040.0
PPG_IR,1552001.9219763,174552.0
PPG_RED,1552002.022488,117533.0
EDA,1552002.0228251,0.27247801423072815
PPG_IR,1552001.9220307,174566.0
PPG_GRN,1552002.0226136,5017.0
PPG_RED,1552002.0225507,117560.0
PPG_GRN,1552002.0226661,5052.0
PPG_IR,1552002.02229,174584.0
PPG_GRN,1552002.0227123,5059.0
PPG_IR,1552002.0223375,174627.0
PPG_IR,1552002.0223763,174684.0
PPG_RED,1552002.2891575,117570.0
PPG_GRN,1552002.2893714,5062.0
EDA,1552002.2895863,0.2726379930973053
PPG_IR,1552002.2889422,174717.0
PPG_RED,1552002.2892595,117582.0
PPG_GRN,1552002.289477,5059.0
TEMP1,1552002.2955334,33.095001220703125
PPG_RED,1552002.293944,117602.0
TEMP1,1552002.3223536,33.00600051879883
PPG_GRN,1552002.2941236,5089.0
EDA,1552002.294903,0.27281901240348816
PPG_IR,1552002.2890532,174758.0
PPG_RED,1552002.2940053,117617.0
PPG_GRN,1552002.2943965,5096.0
EDA,1552002.2951708,0.27296900749206543
PPG_RED,1552002.2940585,117613.0
PPG_GRN,1552002.2946435,5079.0
PPG_IR,1552002.2937556,174794.0
PPG_GRN,1552002.3221949,5121.0
EDA,1552002.3222893,0.27316099405288696
TEMP1,1552002.4239942,33.00199890136719
PPG_IR,1552002.29382,174826.0
PPG_GRN,1552002.3222394,5101.0
EDA,1552002.4237673,0.2733429968357086
PPG_RED,1552002.322103,117649.0
PPG_IR,1552002.2938789,174860.0
PPG_GRN,1552002.4234904,5099.0
PPG_RED,1552002.3221468,117656.0
PPG_IR,1552002.3220012,174898.0
PPG_RED,1552002.4230008,117646.0
EDA,1552002.4238667,0.27344998717308044
PPG_IR,1552002.3220544,174940.0
PPG_GRN,1552002.4235846,5089.0
PPG_RED,1552002.4232556,117628.0
PPG_IR,1552002.422793,174884.0
PPG_RED,1552002.4233825,117612.0
EDA,1552002.5557475,0.2736220061779022
PPG_GRN,1552002.4236677,5088.0
PPG_RED,1552002.555511,117578.0
PPG_IR,1552002.4228713,174840.0
PPG_RED,1552002.5555939,117597.0
PPG_IR,1552002.4229389,174785.0
PPG_GRN,1552002.5556504,5074.0
PPG_IR,1552002.5554075,174711.0
PPG_GRN,1552002.5556964,5043.0
PPG_IR,1552002.5554625,174645.0
PPG_GRN,1552002.7892856,5030.0
TEMP1,1552002.7895141,32.965999603271484
PPG_IR,1552002.7890426,174596.0
TEMP1,1552002.7914148,33.055999755859375
PPG_IR,1552002.7890872,174552.0
PPG_RED,1552002.7891677,117581.0
EDA,1552002.7894117,0.27378299832344055
PPG_GRN,1552002.7893297,5026.0
PPG_GRN,1552002.7893675,5011.0
PPG_IR,1552002.7911206,174532.0
PPG_RED,1552002.7892088,117583.0
EDA,1552002.7894582,0.2738800048828125
PPG_IR,1552002.7911599,174523.0
TEMP1,1552002.8566061,32.98899841308594
EDA,1552002.7913603,0.27399900555610657
PPG_GRN,1552002.7912772,5026.0
EDA,1552002.8563524,0.2741279900074005
PPG_IR,1552002.855552,174540.0
PPG_RED,1552002.7892439,117564.0
EDA,1552002.8564606,0.2742899954319
PPG_GRN,1552002.7913174,5021.0
PPG_IR,1552002.8557097,174565.0
PPG_GRN,1552002.8560395,5004.0
PPG_RED,1552002.7911983,117580.0
PPG_IR,1552002.8557756,174574.0
PPG_RED,1552002.7912358,117583.0
PPG_GRN,1552002.8561431,5035.0
EDA,1552002.9559211,0.2744300067424774
PPG_IR,1552002.9552781,174584.0
PPG_RED,1552002.8558373,117588.0
PPG_GRN,1552002.8562335,5034.0
PPG_RED,1552002.8558876,117604.0
PPG_IR,1552002.9553268,174601.0
PPG_GRN,1552002.9556158,5027.0
PPG_RED,1552002.8559369,117606.0
PPG_GRN,1552002.9557315,5040.0
PPG_RED,1552002.9554102,117611.0
PPG_RED,1552002.9555172,117639.0
PPG_GRN,1552003.0893089,5037.0
TEMP1,1552003.0899548,33.066001892089844
PPG_IR,1552003.0889618,174645.0
EDA,1552003.0897135,0.2745380103588104
PPG_RED,1552003.0891242,117634.0
PPG_GRN,1552003.0894114,5053.0
EDA,1552003.0898222,0.27469000220298767
PPG_RED,1552003.0891658,117654.0
PPG_GRN,1552003.0895072,5055.0
PPG_IR,1552003.0890068,174662.0
PPG_RED,1552003.0892006,117649.0
PPG_IR,1552003.0890449,174695.0
PPG_RED,1552003.0892362,117679.0
PPG_IR,1552003.0890823,174717.0
PPG_GRN,1552003.0896002,5073.0
EDA,1552003.1893271,0.27483099699020386
PPG_GRN,1552003.1891147,5075.0
7602539
PPG_RED,1552003.1889159,117688.0
PPG_IR,1552003.1887893,174769.0
PPG_GRN,1552003.1892179,5096.0
PPG_RED,1552003.1890129,117708.0
EDA,1552003.1894358,0.2750149965286255
PPG_IR,1552003.1888403,174804.0
PPG_RED,1552003.2889998,117718.0
EDA,1552003.2893872,0.27516698837280273
PPG_GRN,1552003.2891248,5092.0
TEMP1,1552003.2894819,33.02799987792969
PPG_IR,1552003.2888504,174867.0
PPG_GRN,1552003.2891897,5124.0
PPG_RED,1552003.2890467,117737.0
PPG_GRN,1552003.2892901,5123.0
EDA,1552003.3892204,0.2753620147705078
TEMP1,1552003.3893758,33.012001037597656
PPG_IR,1552003.2889018,174900.0
PPG_GRN,1552003.3890687,5125.0
PPG_RED,1552003.2890819,117745.0
EDA,1552003.3892785,0.275613009929657
PPG_IR,1552003.2889415,174950.0
PPG_GRN,1552003.3891223,5136.0
PPG_IR,1552003.3887296,174982.0
EDA,1552003.4917102,0.27580899000167847
TEMP1,1552003.4920218,33.04100036621094
PPG_GRN,1552003.3891655,5158.0
PPG_RED,1552003.3888785,117779.0
PPG_IR,1552003.3887863,175032.0
PPG_RED,1552003.3889307,117786.0
PPG_GRN,1552003.4912356,5165.0
PPG_IR,1552003.3888298,175070.0
PPG_RED,1552003.3889698,117811.0
PPG_GRN,1552003.4913879,5174.0
PPG_IR,1552003.4904508,175112.0
PPG_RED,1552003.4908301,117810.0
PPG_RED,1552003.4910276,117832.0
PPG_IR,1552003.4906169,175148.0
PPG_RED,1552003.5891314,117811.0
EDA,1552003.589463,0.27597299218177795
PPG_GRN,1552003.5892627,5157.0
PPG_IR,1552003.5889803,175089.0
PPG_RED,1552003.5891754,117818.0
EDA,1552003.5895138,0.2761150002479553
PPG_RED,1552003.5892147,117799.0
PPG_GRN,1552003.5893453,5156.0
PPG_IR,1552003.5890365,175034.0
PPG_GRN,1552003.5894048,5146.0
PPG_IR,1552003.589082,174979.0
PPG_RED,1552003.6898908,117786.0
EDA,1552003.6903566,0.27623501420021057
PPG_GRN,1552003.6900743,5112.0
TEMP1,1552003.6905514,32.9109992980957
PPG_RED,1552003.6899829,117794.0
PPG_IR,1552003.689661,174894.0
PPG_IR,1552003.6897563,174842.0
PPG_GRN,1552003.6902018,5109.0
PPG_IR,1552003.7887031,174775.0
EDA,1552003.7890488,0.2763339877128601
PPG_GRN,1552003.7889412,5095.0
