Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_IR_brut,PPG_GRN_brut,EDA_brut,TEMP1_brut,PPG_RED_HR_brut,PPG_GRN_HR_brut,PPG_IR_HR_brut,PPG_RED_IBI_brut,PPG_GRN_IBI_brut,PPG_IR_IBI_brut
-1.568000065162778,,,174830.0,,,,,,,,,,174830.0,,,,,,,,,
-1.4742000494152308,,,174833.3548387097,,,,,,,,,,174882.0,,,,,,,,,
-1.368100056424737,,,174838.6867845994,,,,,,,,,,174916.0,,,,,,,,,
-1.1823999229818583,,,174843.98118559303,117567.0,,,,,,,,117567.0,174920.75,,,,,,,,,
-1.046299934387207,,,174849.24046394188,117566.29032258067,,,,,,,,117556.0,174925.5,,,,,,,,,
-0.9459999855607748,,,174854.46688562306,117568.2715920916,,,,,,,,117597.0,174930.25,,,,,,,,,
-0.5828000139445066,,5105.0,174859.66257042158,117570.05130504421,,,,,,,,117595.85714285714,174935.0,5105.0,,,,,,,,
-0.46829995699226856,,5106.032258064516,174864.82950136214,117571.64246508744,,,,,,,,117594.71428571429,174939.75,5121.0,,,,,,,,
-0.2679000608623028,0.2707000076770782,5106.887319756206,174869.96953353233,117573.05723692513,,,,,,,,117593.57142857143,174944.5,5119.285714285715,0.2707000076770782,,,,,,,
0.0,0.2707171328365802,5107.576617099124,174875.0844023367,117574.30700044149,32.974998474121094,,,,,,,117592.42857142857,174949.25,5117.571428571428,,32.974998474121094,,,,,,
2.368499990552664,0.27073425799608225,5108.1108445673835,174880.17573121822,117575.40240133466,32.974998474121094,,,,,,,117591.28571428571,174954.0,5115.857142857143,,,,,,,,
2.5506000965833664,0.2707513831555843,5108.500006669027,174884.6160066235,117576.3533984836,32.974998474121094,,,,,,,117590.14285714286,174949.0,5114.142857142857,,,,,,,,
2.7203999925404787,0.27076850831508636,5108.753462459966,174888.4287988229,117577.16930825886,32.974998474121094,,,,,,,117589.0,174943.7142857143,5112.428571428572,,,,,,,,
2.8731999918818474,0.2707856334745884,5108.8799671860515,174891.6545906039,117579.02935288733,32.974998474121094,,,,,,,117606.0,174938.42857142858,5110.714285714285,,,,,,,,
3.079500049352646,0.2708027586340904,5108.887711238565,174894.33125296124,117580.5355236688,32.974998474121094,,,,,,,117602.375,174933.14285714287,5109.0,,,,,,,,
3.275100141763687,0.27081988379359245,5109.927213739304,174896.49421359968,117581.71065117404,32.974998474121094,,,,,,,117598.75,174927.85714285713,5125.0,,,,,,,,
3.419300075620413,0.2708370089530945,5110.878146186231,174898.1766145656,117582.57609303379,32.974998474121094,,,,,,,117595.125,174922.57142857142,5124.666666666667,0.2708370089530945,,,,,,,
3.5296999849379063,0.2710680067539215,5111.746222776367,174899.40945970887,117583.1518289671,32.974998474121094,,,,,,,117591.5,174917.2857142857,5124.333333333333,0.2710680067539215,,,,,,,
97.89620013907552,0.27107020616531374,5112.536789048861,174900.2217526309,117583.4565496789,32.974998474121094,,,,,,,117587.875,174912.0,5124.0,,,,,,,,
97.99690009094775,0.2710724055767059,5113.254845669365,174895.94938149344,117583.5077400222,32.974998474121094,,,,,,,117584.25,174834.0,5123.666666666667,,,,,,,,
98.06929994374514,0.2710746049880981,5113.905070679944,174886.4687762358,117583.32175679498,32.974998474121094,,,,,,,117580.625,174749.0,5123.333333333333,,,,,,,,
98.17400015890598,0.27107680439949033,5114.491840313496,174877.16971540338,117582.91390151788,32.974998474121094,,,,,,,117577.0,174742.33333333334,5123.0,,,,,,,,
98.27580000273883,0.27107900381088257,5115.019248465314,174868.04048645264,117581.75816593609,32.974998474121094,,,,,,,117565.0,174735.66666666666,5122.666666666667,,,,,,,,
98.42250007204711,0.27108120322227475,5115.4911249084125,174859.07013248798,117578.67699394023,32.974998474121094,,,,,,,117534.0,174729.0,5122.333333333333,,,,,,,,
98.63300016149879,0.2710834026336669,5115.911052333676,174850.24840351025,117575.69783304087,32.974998474121094,,,,,,,117532.5,174722.33333333334,5122.0,,,,,,,,
98.76790014095604,0.27108560204505916,5115.529694118601,174841.56571081068,117572.81410187695,32.974998474121094,,,,,,,117531.0,174715.66666666666,5110.0,,,,,,,,
98.98500004783273,0.2710878014564514,5112.5277783690135,174833.0130843068,117570.01964369135,32.974998474121094,,,,,,,117529.5,174709.0,5069.0,,,,,,,,
99.20810000039637,0.2710900008678436,5109.655018474239,174824.5821326311,117567.30869893708,32.974998474121094,,,,,,,117528.0,174702.33333333334,5068.0,0.2710900008678436,,,,,,,
99.4287000503391,0.27110312506556505,5106.903081798482,174816.2650057947,117564.67587965082,32.990841339188016,,,,,,,117526.5,174695.66666666666,5067.0,,33.060001373291016,,,,,,
197.71930016577244,0.27111624926328654,5104.264173295354,174808.05436025956,117562.11614547981,32.990841339188016,,,,,,,117525.0,174689.0,5066.0,,,,,,,,
197.76390003971756,0.271129373461008,5101.731000824687,174795.92182088798,117559.6247812553,32.990841339188016,,,,,,,117523.5,174620.0,5065.0,,,,,,,,
197.87260005250573,0.27114249765872955,5099.296742706965,174784.02363889522,117557.19737601303,32.990841339188016,,,,,,,117522.0,174611.5,5064.0,,,,,,,,
197.9150001425296,0.27115562185645103,5096.955017371032,174772.34469445038,117554.86206143156,32.990841339188016,,,,,,,117521.0,174603.0,5063.0,,,,,,,,
197.97140010632575,0.2711687460541725,5094.699854959998,174760.87084319553,117552.52687467253,32.990841339188016,,,,,,,117518.66666666667,174594.5,5062.0,,,,,,,,
198.09900014661252,0.271181870251894,5091.428896575482,174749.58885331196,117550.19180748938,32.990841339188016,,,,,,,117516.33333333333,174586.0,5044.0,,,,,,,,
198.30990000627935,0.2711949944496155,5088.1625161512575,174738.48634664668,117547.85685216749,32.990841339188016,,,,,,,117514.0,174577.5,5040.8,0.2711949944496155,,,,,,,
198.49610002711415,0.2713010013103485,5084.900418335048,174727.55174363725,117545.52200149003,32.990841339188016,,,,,,,117511.66666666667,174569.0,5037.6,0.2713010013103485,,,,,,,
198.7137000542134,0.271306728774851,5081.642326829561,174716.77421178969,117543.18724870573,32.9833878422287,,,,,,,117509.33333333333,174560.5,5034.4,,32.91999816894531,,,,,,
464.6781999617815,0.2713124562393535,5078.387983163138,174706.14361748067,117540.85258749891,32.9833878422287,,,,,,,117507.0,174552.0,5031.2,,,,,,,,
464.7501001600176,0.271318183703856,5075.13714553971,174694.0053195787,117538.51801196137,32.9833878422287,,,,,,,117504.66666666667,174518.0,5028.0,,,,,,,,
464.8025999777019,0.2713239111683585,5071.889587762955,174681.0372344446,117536.18351656602,32.9833878422287,,,,,,,117502.33333333333,174493.0,5024.8,,,,,,,,
464.87360005266964,0.271329638632861,5068.645098229861,174668.82192899656,117533.84909614241,32.9833878422287,,,,,,,117500.0,174491.7,5021.6,,,,,,,,
464.9384000804275,0.2713353660973636,5065.403478989226,174657.31083680326,117533.84909614241,32.9833878422287,,,,,,,117475.0,174490.4,5018.4,,,,,,,,
465.0068001355976,0.2713410935618661,5062.16454486089,174646.45852475145,117531.31903638513,32.9833878422287,129.83258516874994,0.46213360014371574,,,,,117497.0,174489.1,5015.2,,,129.83258516874994,,,0.46213360014371574,,
465.0719000492245,0.2713468210263686,5058.9281226118,174636.2224908965,117528.90418815958,32.9833878422287,129.83258516874994,0.46213360014371574,,,,,117493.88888888889,174487.8,5012.0,,,,,,,,
465.1184000540525,0.2713525484908711,5058.9281226118,174626.56297535478,117526.44441974784,32.9833878422287,129.83258516874994,0.46213360014371574,,,129.91419386487783,0.4618432999122888,117490.77777777778,174486.5,5031.0,,,,129.91419386487783,,,0.4618432999122888,
465.1564999949187,0.2713582759553736,5056.392636895376,174617.44278339643,117523.94262922648,32.9833878422287,129.83258516874994,0.46213360014371574,,,129.91419386487783,0.4618432999122888,117487.66666666667,174485.2,5022.0,,,,,,,,
465.20600002259016,0.2713640034198761,5054.101176450514,174608.82711995151,117521.40152769935,32.9833878422287,129.83258516874994,0.46213360014371574,,,129.91419386487783,0.4618432999122888,117484.55555555556,174483.9,5020.875,0.2713640034198761,,,,,,,
465.29090008698404,0.2715219855308532,5051.884971518222,174600.68343479335,117518.82365136033,32.9833878422287,129.83258516874994,0.46213360014371574,,,129.91419386487783,0.4618432999122888,117481.44444444444,174482.6,5019.75,0.2715219855308532,,,,,,,
465.410300064832,0.2715406119823455,5049.7391669041435,174592.9812777099,117516.21137277795,32.98999521796645,129.83258516874994,0.46213360014371574,,,129.91419386487783,0.4618432999122888,117478.33333333333,174481.3,5018.625,,33.0359992980957,,,,,,
498.10390011407435,0.27155923843383784,5047.659220652264,174585.69216301898,117513.56691145178,32.98999521796645,129.83258516874994,0.46213360014371574,,,129.91419386487783,0.4618432999122888,117475.22222222222,174480.0,5017.5,,,,,,,,
498.1448999606073,0.27157786488533014,5045.6408838359885,174579.51847508227,117510.89234368787,32.98999521796645,129.83258516874994,0.46213360014371574,121.02229957622843,0.4957763999700546,129.91419386487783,0.4618432999122888,117472.11111111111,174490.0,5016.375,,,,,121.02229957622843,,,0.4957763999700546
498.2217000797391,0.27159649133682245,5043.6801816530215,174573.614057335,117508.18961183704,32.98999521796645,129.83258516874994,0.46213360014371574,121.02229957622843,0.4957763999700546,129.91419386487783,0.4618432999122888,117469.0,174488.0,5015.25,,,,,,,,
498.2896000146866,0.27161511778831476,5041.773395739924,174567.96153750696,117507.08060462175,32.98999521796645,129.83258516874994,0.46213360014371574,121.02229957622843,0.4957763999700546,129.91419386487783,0.4618432999122888,117491.0,174486.0,5014.125,,,129.83258516874994,,,0.46213360014371574,,
498.3429000712931,0.2716337442398071,5039.917047627671,174562.54466411943,117506.03392966921,32.98999521796645,129.83258516874994,0.46213360014371574,121.02229957622843,0.4957763999700546,129.91419386487783,0.4618432999122888,117490.85714285714,174484.0,5013.0,,,,,,,,
498.3872000593692,0.2716523706912994,5036.696592942016,174557.34823417626,117505.0455655431,32.98999521796645,129.83258516874994,0.46213360014371574,121.02229957622843,0.4957763999700546,129.91419386487783,0.4618432999122888,117490.71428571429,174482.0,4990.0,,,,,,,,
