Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
0.0,0.09399300068616864,5253.0,170682.33333333334,121888.66666666667,36.757999420166016,,,,,,,121888.66666666667,5253.0,170682.33333333334,0.09399300068616864,36.757999420166016,,,,,,
133.0,0.0947809964418411,5254.064516129032,170687.247311828,121890.13978494625,36.762257606752456,,,,,,,121911.5,5269.5,170758.5,0.0947809964418411,36.82400131225586,,,,,,
135.0,0.09534949809312815,5252.899063475546,170675.61845300038,121886.81893860565,36.76811199605031,,,,,,,121838.66666666667,5236.0,170507.0,0.09534949809312815,36.85300064086914,,,,,,
233.0,0.09559574723243708,5250.486220670673,170651.41726248423,121879.02416837304,36.76811199605031,,,,,,,121766.0,5215.5,170300.5,,,,,,,,
234.0,0.095841996371746,5248.105389229555,170626.3419552272,121871.90432955329,36.76811199605031,,,,,,,121768.66666666666,5213.583333333334,170262.75,0.095841996371746,,,,,,,
366.0,0.0963495001196861,5245.754503902917,170600.4489258577,121865.41587818427,36.76811199605031,,,,,,,121771.33333333333,5211.666666666667,170225.0,0.0963495001196861,,,,,,,
367.0,0.09666075184941289,5243.469267091977,170579.56512418945,121860.94818711861,36.77292057352663,,,,,,,121796.16666666666,5210.333333333334,170276.75,,36.83000183105469,,,,,,
566.0,0.0969720035791397,5241.245443408624,170563.36737424176,121858.37088472387,36.77369988151924,,,,,,,121821.0,5209.0,170328.5,0.0969720035791397,36.78499984741211,,,,,,
600.0,0.0977667514234781,5239.810253511294,170568.11786622618,121861.18566635459,36.77369988151924,,,,,,,121902.0,5219.0,170637.0,,,,,,,,
601.0,0.0985614992678165,5239.112817800888,170577.20703614707,121869.04465562204,36.7755055958532,,,,,,,121983.0,5229.0,170709.0,0.0985614992678165,36.79999923706055,,,,,,
666.0,0.0991317499428987,5239.944248910509,170586.87109833115,121878.81596816257,36.7755055958532,,,,,,,122020.5,5252.0,170727.0,,,,,,,,
667.0,0.0997020006179809,5240.399458658218,170596.53532854636,121887.5751530123,36.7755055958532,,,,,,,122014.58333333334,5247.0,170736.6666666667,0.0997020006179809,,,,,,,
766.0,0.10035800188779831,5241.771536594248,170606.199715952,121895.38750873195,36.7755055958532,,,,,,,122008.66666666667,5261.666666666667,170746.33333333334,0.10035800188779831,,,,,,,
767.0,0.10060633470614751,5243.178749287092,170617.35887406263,121902.7065941901,36.780749508378975,,,,,,,122008.83333333334,5263.583333333334,170779.1666666667,,36.84299850463867,,,,,,
866.0,0.1008546675244967,5244.618829978248,170629.9163660586,121909.5642332746,36.780749508378975,,,81.85538881309687,0.733,,,122009.0,5265.5,170812.0,,,81.85538881309687,,,0.733,,
867.0,0.1011030003428459,5246.012597219795,170637.47014889354,121915.08338668343,36.78138471019869,,,81.85538881309687,0.733,,,121995.11111111111,5266.222222222223,170747.0,0.1011030003428459,36.790000915527344,,,,,,
1099.0,0.10135200060904023,5247.363038976224,170640.34304251333,121919.3504083311,36.78138471019869,,,81.85538881309687,0.733,,,121981.22222222222,5266.944444444444,170682.0,,,,,,,,
1100.0,0.10160100087523455,5248.672950440124,170636.44994299635,121922.44608091189,36.775522135435864,,,81.85538881309687,0.733,62.04756980351603,0.967,121967.33333333333,5267.666666666667,170580.0,0.10160100087523455,36.69599914550781,,62.04756980351603,,,0.967,
1102.0,0.1020089983940124,5247.468243960116,170626.22736602885,121919.12697891757,36.775522135435864,,,81.85538881309687,0.733,62.04756980351603,0.967,121871.0,5230.0,170478.0,0.1020089983940124,,,,,,,
1167.0,0.10242774896323675,5244.857389511077,170607.3309768227,121913.80695877236,36.775522135435864,,,81.85538881309687,0.733,62.04756980351603,0.967,121836.66666666667,5207.0,170333.33333333334,,,,,,,,
1168.0,0.10284649953246111,5241.931106316813,170586.72360197394,121907.437692615,36.771977714593966,,,81.85538881309687,0.733,62.04756980351603,0.967,121815.08333333334,5199.5,170287.9166666667,0.10284649953246111,36.72700119018555,,,,,,
1266.0,0.1033549979329109,5238.709744618955,170564.51562765305,121900.08687373661,36.77675338922575,,,81.85538881309687,0.733,62.04756980351603,0.967,121793.5,5192.0,170242.5,0.1033549979329109,36.84600067138672,,,,,,
1366.0,0.1063794996589422,5236.072556794075,170554.71892049265,121895.17804317296,36.77675338922575,,,81.85538881309687,0.733,62.04756980351603,0.967,121824.0,5197.833333333334,170412.66666666666,,,,,,,,
1367.0,0.1094040013849735,5233.981854205211,170548.08114067593,121893.74720167794,36.780203299585686,,,81.85538881309687,0.733,62.04756980351603,0.967,121873.0,5203.666666666667,170451.8333333333,0.1094040013849735,36.82699966430664,,,,,,
1466.0,0.1200950015336275,5231.595928127455,170544.39848643876,121892.9248015697,36.780203299585686,,,81.85538881309687,0.733,62.04756980351603,0.967,121881.0,5197.0,170491.0,,,,,,,,
1467.0,0.1307860016822815,5229.880061796653,170540.95342279755,121892.15545953295,36.77552058315046,,,81.85538881309687,0.733,62.04756980351603,0.967,121881.0,5205.0,170491.0,0.1307860016822815,36.71200180053711,,,,,,
1468.0,0.1307860016822815,5228.016832003321,170537.73062132674,121891.43575246632,36.77142259717541,,,81.85538881309687,0.733,62.04756980351603,0.967,121881.0,5201.0,170491.0,0.1307860016822815,36.71200180053711,,,,,,
1566.0,0.1391694992780685,5227.112520261171,170551.1673554347,121896.87000499538,36.77142259717541,,,81.85538881309687,0.733,62.04756980351603,0.967,121975.66666666667,5214.0,170746.0,0.1391694992780685,,,,,,,
1666.0,0.1428990066051483,5227.943970566902,170581.67268734216,121911.45903693116,36.763978175627045,,,81.85538881309687,0.733,62.04756980351603,0.967,122123.0,5240.0,171024.0,0.1428990066051483,36.66299819946289,,,,,,
1766.0,0.145065002143383,5229.302424078715,170626.79057848136,121927.9240453012,36.763978175627045,,,81.85538881309687,0.733,62.04756980351603,0.967,122166.66666666666,5249.0,171281.0,,,,,,,,
1767.0,0.1472309976816177,5231.153880589766,170673.4492508374,121946.14399936779,36.762881189166755,,,81.85538881309687,0.733,62.04756980351603,0.967,122210.33333333333,5258.0,171350.0,0.1472309976816177,36.74800109863281,81.85538881309687,62.04756980351603,,0.733,0.967,
1866.0,0.15241499990224833,5231.509544207631,170714.66757874037,121965.27449403224,36.762881189166755,50.0,1.2,81.85538881309687,0.733,62.04756980351603,0.967,122242.66666666667,5236.666666666667,171312.33333333334,0.15241499990224833,,,,50.0,,,1.2
