Type,Time,Data
PPG_RED,518185.123931,121871.0
EDA,518185.1242745,0.0937270000576973
PPG_IR,518185.1236737,170622.0
TEMP1,518185.1243721,36.757999420166016
PPG_IR,518185.1237157,170666.0
PPG_RED,518185.1240061,121896.0
PPG_RED,518185.1240967,121899.0
PPG_IR,518185.1238196,170759.0
PPG_GRN,518185.1241494,5251.0
EDA,518185.1243176,0.09425900131464005
PPG_GRN,518185.1241925,5251.0
PPG_GRN,518185.1242297,5257.0
TEMP1,518185.257104,36.82400131225586
PPG_RED,518185.2567088,121920.0
PPG_IR,518185.256614,170783.0
PPG_RED,518185.2567486,121903.0
EDA,518185.2569571,0.09478099644184113
PPG_IR,518185.2566649,170734.0
PPG_RED,518185.2589628,121871.0
EDA,518185.2592043,0.09519899636507034
PPG_IR,518185.258847,170602.0
PPG_GRN,518185.256793,5274.0
PPG_RED,518185.2590003,121837.0
PPG_IR,518185.2588863,170516.0
PPG_GRN,518185.2568788,5265.0
PPG_IR,518185.258921,170403.0
PPG_RED,518185.2590349,121808.0
TEMP1,518185.2593049,36.85300064086914
PPG_GRN,518185.2590768,5240.0
EDA,518185.2592452,0.09549999982118607
PPG_IR,518185.3570172,170341.0
PPG_IR,518185.3570965,170260.0
EDA,518185.3574372,0.09584199637174606
PPG_GRN,518185.2591229,5233.0
PPG_RED,518185.3572288,121766.0
PPG_GRN,518185.2591603,5235.0
PPG_GRN,518185.3572958,5213.0
PPG_GRN,518185.357366,5218.0
PPG_GRN,518185.4899595,5212.0
PPG_IR,518185.4896877,170223.0
PPG_RED,518185.4898124,121751.0
PPG_IR,518185.4897354,170208.0
EDA,518185.4902722,0.0961579978466034
EDA,518185.4903555,0.09654100239276886
PPG_GRN,518185.4900683,5217.0
PPG_IR,518185.4897712,170244.0
PPG_GRN,518185.4901531,5206.0
PPG_RED,518185.4898499,121778.0
TEMP1,518185.4904559,36.83000183105469
PPG_RED,518185.4898828,121785.0
PPG_GRN,518185.6901489,5203.0
TEMP1,518185.6903358,36.78499984741211
PPG_IR,518185.6898357,170292.0
EDA,518185.690253,0.09697200357913971
PPG_GRN,518185.6902003,5215.0
PPG_IR,518185.6899047,170365.0
PPG_RED,518185.6899867,121803.0
PPG_RED,518185.6900783,121839.0
PPG_IR,518185.7243085,170593.0
PPG_IR,518185.7243763,170681.0
PPG_IR,518185.7244363,170709.0
PPG_GRN,518185.7246896,5216.0
EDA,518185.7248968,0.09805700182914734
PPG_RED,518185.724501,121952.0
PPG_RED,518185.7245651,121981.0
PPG_GRN,518185.7247586,5235.0
PPG_RED,518185.7246232,122016.0
PPG_GRN,518185.7248215,5236.0
TEMP1,518185.7250645,36.79999923706055
EDA,518185.7249716,0.09906599670648575
PPG_GRN,518185.7904061,5252.0
PPG_RED,518185.7902899,122022.0
PPG_IR,518185.7901447,170718.0
PPG_IR,518185.7901953,170736.0
PPG_GRN,518185.7904555,5247.0
EDA,518185.7905038,0.09970200061798096
PPG_RED,518185.7903422,122019.0
PPG_GRN,518185.8901834,5257.0
TEMP1,518185.8904645,36.84299850463867
PPG_RED,518185.8899559,122006.0
PPG_IR,518185.8898249,170724.0
PPG_RED,518185.8900604,122002.0
EDA,518185.8903131,0.10013200342655182
PPG_IR,518185.8898741,170733.0
PPG_GRN,518185.8902281,5265.0
EDA,518185.8903829,0.1005840003490448
PPG_RED,518185.8900985,122018.0
PPG_GRN,518185.8902651,5263.0
PPG_IR,518185.8899106,170782.0
TEMP1,518185.990522,36.790000915527344
PPG_IR,518185.990129,170788.0
PPG_RED,518185.9902617,122016.0
PPG_RED,518185.9903203,122002.0
PPG_GRN,518185.9903695,5265.0
EDA,518185.9904594,0.10110300034284592
PPG_GRN,518185.9904131,5266.0
PPG_IR,518185.990173,170836.0
PPG_GRN,518186.2235753,5281.0
PPG_RED,518186.2234561,122017.0
EDA,518186.2237876,0.10146699845790863
TEMP1,518186.2240205,36.69599914550781
PPG_RED,518186.2234978,121957.0
PPG_GRN,518186.2236181,5265.0
PPG_IR,518186.2233749,170729.0
PPG_RED,518186.2235322,121928.0
PPG_GRN,518186.2236548,5257.0
PPG_GRN,518186.2260654,5233.0
PPG_IR,518186.2234121,170635.0
PPG_RED,518186.2259782,121900.0
PPG_GRN,518186.2261476,5227.0
PPG_RED,518186.2260212,121842.0
PPG_IR,518186.2258976,170527.0
EDA,518186.2239141,0.10173500329256058
PPG_IR,518186.2259377,170429.0
EDA,518186.2262088,0.10200899839401245
PPG_IR,518186.2905981,170378.0
PPG_IR,518186.2906702,170330.0
PPG_RED,518186.2909136,121838.0
TEMP1,518186.2916289,36.72700119018555
PPG_RED,518186.2910024,121845.0
EDA,518186.2914554,0.10260500013828278
EDA,518186.2915294,0.10308799892663956
PPG_IR,518186.2907802,170292.0
PPG_RED,518186.2910953,121827.0
PPG_GRN,518186.2913125,5201.0
PPG_GRN,518186.2913813,5213.0
PPG_GRN,518186.3901284,5193.0
EDA,518186.3902643,0.10335499793291092
PPG_IR,518186.3899526,170219.0
PPG_GRN,518186.3901968,5191.0
TEMP1,518186.3903496,36.84600067138672
PPG_RED,518186.390047,121787.0
PPG_IR,518186.3900029,170266.0
PPG_RED,518186.3900872,121800.0
EDA,518186.4907051,0.10434100031852722
PPG_RED,518186.4903761,121824.0
EDA,518186.4907807,0.11446700245141983
PPG_IR,518186.490245,170320.0
TEMP1,518186.490869,36.82699966430664
PPG_IR,518186.490295,170458.0

PPG_IR,518186.4903327,170460.0
PPG_GRN,518186.4905641,5201.0
PPG_RED,518186.4904998,121873.0
PPG_GRN,518186.4906231,5206.0
PPG_GRN,518186.4906596,5204.0
PPG_GRN,518186.5903837,5197.0
PPG_IR,518186.5901626,170462.0
TEMP1,518186.5906247,36.71200180053711
EDA,518186.5904972,0.1307860016822815
PPG_IR,518186.5902225,170520.0
PPG_GRN,518186.5904386,5205.0
EDA,518186.5919831,0.1307860016822815
TEMP1,518186.5920574,36.71200180053711
PPG_IR,518186.5916745,170462.0
PPG_GRN,518186.5918723,5197.0
PPG_IR,518186.5917254,170520.0
PPG_RED,518186.5902776,121879.0
PPG_GRN,518186.5919248,5205.0
PPG_RED,518186.590329,121883.0
PPG_RED,518186.5917743,121879.0
PPG_RED,518186.5918216,121883.0
PPG_IR,518186.6896896,170626.0
EDA,518186.6901102,0.13774000108242035
PPG_RED,518186.6898062,121935.0
PPG_RED,518186.6898804,121966.0
EDA,518186.6901534,0.14059899747371674
PPG_IR,518186.6897316,170728.0
PPG_RED,518186.6899263,122026.0
PPG_GRN,518186.6899732,5189.0
PPG_IR,518186.6897675,170884.0
PPG_GRN,518186.6900296,5229.0
PPG_GRN,518186.6900659,5224.0
EDA,518186.7898196,0.14289900660514832
TEMP1,518186.7898784,36.66299819946289
PPG_RED,518186.7896569,122099.0
PPG_IR,518186.789568,171024.0
PPG_RED,518186.7896948,122147.0
PPG_GRN,518186.789736,5229.0
PPG_GRN,518186.7897753,5251.0
PPG_IR,518186.8903506,171281.0
TEMP1,518186.8911964,36.74800109863281
PPG_IR,518186.8904544,171349.0
PPG_RED,518186.8905926,122194.0
PPG_RED,518186.8906632,122208.0
PPG_GRN,518186.8907972,5262.0
PPG_RED,518186.890724,122229.0
PPG_GRN,518186.8908682,5258.0
PPG_GRN,518186.8909301,5254.0
731384
PPG_IR,518186.8905193,171351.0
EDA,518186.891075,0.14723099768161774
TEMP1,518186.9904441,36.7140007019043
PPG_RED,518186.9901093,122244.0
PPG_RED,518186.9901482,122242.0
PPG_IR,518186.9899846,171340.0
PPG_IR,518186.9900332,171310.0
PPG_GRN,518186.9902215,5247.0
PPG_GRN,518186.9902683,5239.0
PPG_GRN,518186.9903049,5224.0
PPG_IR,518186.9900693,171287.0
PPG_RED,518186.9901813,122242.0
EDA,518186.990348,0.15100699663162231
EDA,518186.9903912,0.15382300317287445
PPG_IR,518187.1236208,171270.0
EDA,518187.1242407,0.15586300194263458
PPG_IR,518187.1237004,171280.0
PPG_GRN,518187.1240211,5239.0
PPG_GRN,518187.124124,5235.0
PPG_RED,518187.1237727,122241.0
PPG_RED,518187.1238378,122244.0
PPG_IR,518187.1900478,171311.0
EDA,518187.1904759,0.15778900682926178
PPG_GRN,518187.1903516,5229.0
TEMP1,518187.1905749,36.73400115966797
EDA,518187.1905192,0.15935100615024567
PPG_RED,518187.1901886,122277.0
PPG_RED,518187.1902297,122287.0
PPG_IR,518187.1900899,171373.0
PPG_GRN,518187.1903932,5231.0
PPG_GRN,518187.1904295,5221.0
PPG_IR,518187.190148,171415.0
PPG_RED,518187.1902978,122297.0
PPG_IR,518187.2904009,171471.0
PPG_GRN,518187.2906748,5216.0
TEMP1,518187.2910142,36.849998474121094
PPG_IR,518187.2904691,171512.0
PPG_RED,518187.2905318,122313.0
EDA,518187.2909128,0.16058799624443054
PPG_RED,518187.2906083,122328.0
PPG_GRN,518187.2907929,5230.0
PPG_IR,518187.3239716,171471.0
PPG_IR,518187.3240325,171512.0
PPG_RED,518187.3242009,122313.0
PPG_GRN,518187.3243519,5216.0
EDA,518187.3244749,0.16058799624443054
TEMP1,518187.3245566,36.849998474121094
PPG_RED,518187.3242841,122328.0
PPG_GRN,518187.3244111,5230.0
EDA,518187.3909682,0.16173599660396576
PPG_RED,518187.3905962,122314.0
PPG_IR,518187.3903995,171529.0
TEMP1,518187.3911185,36.757999420166016
PPG_RED,518187.3906571,122349.0
PPG_RED,518187.3907128,122317.0
EDA,518187.3910342,0.16295300424098969
PPG_GRN,518187.3907774,5231.0
PPG_IR,518187.3904746,171543.0
PPG_IR,518187.3905324,171475.0
PPG_GRN,518187.3908422,5232.0
PPG_GRN,518187.3908991,5237.0
EDA,518187.5239346,0.16428999602794647
PPG_IR,518187.523362,171407.0
PPG_GRN,518187.5237339,5255.0
PPG_RED,518187.5235299,122255.0
PPG_RED,518187.5236448,122265.0
PPG_GRN,518187.5238311,5261.0
PPG_IR,518187.5234404,171452.0
EDA,518187.6241683,0.16542799770832062
TEMP1,518187.6243955,36.82400131225586
PPG_RED,518187.6237832,122290.0
PPG_IR,518187.6235913,171544.0
PPG_RED,518187.6238647,122302.0
PPG_GRN,518187.6239597,5264.0
PPG_RED,518187.6239128,122279.0
EDA,518187.6242426,0.166375994682312
PPG_IR,518187.6236961,171610.0
PPG_GRN,518187.6240252,5267.0
PPG_GRN,518187.6240824,5263.0
PPG_IR,518187.6237349,171605.0
PPG_RED,518187.72396,122288.0
PPG_IR,518187.7237162,171661.0
097595
PPG_GRN,518187.7240911,5280.0
TEMP1,518187.7243363,36.92399978637695
PPG_IR,518187.7238555,171630.0
PPG_GRN,518187.7241556,5280.0
PPG_RED,518187.7240273,122291.0
TEMP1,518187.7952214,36.82500076293945
