Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
0.0,1.8184455037117004,9789.0,,,36.20600128173828,,,,,,,,9789.0,,1.8184455037117004,36.20600128173828,,,,,,
99.0,1.819633960723877,9791.419354838712,185047.0,135507.5,36.20761403729839,,,,,,,135507.5,9826.5,185047.0,1.819633960723877,36.23099899291992,,,,,,
199.0,1.8191589713096619,9795.731009365247,185056.5483870968,135509.8064516129,36.20761403729839,,,,,,,135543.25,9858.25,185195.0,,,,,,,,
200.0,1.8186839818954468,9801.812879728779,185072.88397502605,135514.27055150887,36.20761403729839,,,,,,,135579.0,9890.0,185309.75,1.8186839818954468,,,,,,,
399.0,1.8193954825401306,9808.566887488214,185095.5688798631,135520.4466449599,36.20761403729839,,,,,,,135610.0,9906.5,185424.5,,,,,,,,
400.0,1.8201069831848145,9815.949668940588,185118.64508116225,135529.45008722058,36.20761403729839,,,,,,,135660.0,9923.0,185453.25,1.8201069831848145,,,,,,,
403.0,1.8201069831848145,9824.221733310012,185142.08733399052,135537.86190955044,36.20761403729839,,,,,,,135659.8333333333,9944.166666666668,185482.0,,,,,,,,
404.0,1.8201069831848145,9833.325707505068,185161.4365382492,135545.72028097732,36.20761403729839,,,,,,,135659.66666666666,9965.333333333334,185442.0,1.8201069831848145,,,,,,,
405.0,1.820463478565216,9839.749138562089,185166.89224545893,135550.13259259885,36.204198108931024,,,,,,,135614.1111111111,9932.888888888889,185246.0,,36.17100143432617,,,,,,
499.0,1.8208199739456177,9843.664964748048,185159.35081026805,135551.32117085415,36.204198108931024,,,,,,,135568.55555555556,9900.444444444445,185050.0,,,,,,,,
500.0,1.8211764693260193,9845.234967022368,185136.81204831527,135549.49399854097,36.204198108931024,,,,,,,135523.0,9868.0,184810.0,,,,,,,,
501.0,1.821532964706421,9843.02625947254,185110.17901294012,135545.01051476414,36.204198108931024,,,,,,,135480.0,9811.0,184724.0,1.821532964706421,,,,,,,
599.0,1.8220097780227662,9837.282629829151,185079.71585081494,135538.0420944568,36.204198108931024,,,,,,,135437.0,9754.0,184638.0,,,,,,,,
600.0,1.8224865913391113,9828.23213758211,185050.84170990216,135528.74905610475,36.204198108931024,,,,,,,135394.0,9697.0,184632.16666666666,,,,,,,,
601.0,1.8229634046554566,9819.066623329501,185023.4540727042,135519.862020227,36.21445423146283,,,,,,,135391.0,9686.166666666666,184626.33333333334,,36.32099914550781,,,,,,
699.0,1.8234402179718017,9809.793507845878,184997.45703575553,135511.3547931156,36.21445423146283,,,,,,,135388.0,9675.333333333334,184620.5,,,,,,,,
700.0,1.823917031288147,9800.419733146144,184973.70174312615,135503.20287097912,36.21445423146283,,,,,,,135385.0,9664.5,184629.25,1.823917031288147,,,,,,,
933.0,1.8248720169067385,9791.682976168973,184952.04356615027,135494.20053521704,36.21445423146283,,,,,,,135363.66666666666,9665.0,184638.0,1.8248720169067385,,,,,,,
934.0,1.825348973274231,9784.466870179578,184935.6214005922,135486.47433581235,36.21410808545243,,,,,,,135374.44444444444,9679.833333333334,184697.5,1.825348973274231,36.209999084472656,,,,,,
965.0,1.8263069987297058,9778.673308662617,184924.09743926369,135479.9419413872,36.21410808545243,,,,,,,135385.22222222222,9694.666666666666,184757.0,,,,,,,,
966.0,1.8272650241851809,9774.210514555352,184916.92986253698,135474.52633226544,36.212933347540826,,,,,,,135396.0,9709.5,184813.0,1.8272650241851809,36.196998596191406,,,,,,
1032.0,1.8273842632770538,9772.213062003395,184922.86987140556,135470.9547409365,36.212933347540826,,,,,,,135419.1666666667,9743.25,185009.0,,,,,,,,
1033.0,1.827503502368927,9772.521896712853,184931.8621377665,135469.10819851048,36.21877404883148,,,,,,,135442.33333333334,9777.0,185062.25,1.827503502368927,36.29800033569336,,,,,,
1099.0,1.8287019729614256,9776.03661305396,184943.70974178158,135470.55283086465,36.21877404883148,,,86.20689655172414,0.696,,,135491.5,9827.0,185115.5,1.8287019729614256,,86.20689655172414,,,0.696,,
1133.0,1.8287019729614256,9779.324573502092,184954.7929842473,135471.90426113145,36.21877404883148,,,86.20689655172414,0.696,,,135491.5,9827.0,185115.5,1.8287019729614256,,,,,,,
1266.0,1.829542487859726,9785.432665534216,184963.77408203782,135473.32979267137,36.21877404883148,69.28406466512702,0.866,86.20689655172414,0.696,69.60556844547564,0.862,135494.0,9874.0,185094.0,,,,69.60556844547564,69.28406466512702,,0.862,0.866
1267.0,1.8303830027580261,9790.017654854588,184962.49833480958,135472.13916088612,36.21877404883148,69.28406466512702,0.866,86.20689655172414,0.696,69.60556844547564,0.862,135454.875,9856.5,184944.0,1.8303830027580261,,,,,,,
1268.0,1.8309443394343057,9790.73694593924,184951.62747449928,135468.50115050637,36.22308850147197,69.28406466512702,0.866,86.20689655172414,0.696,69.60556844547564,0.862,135415.75,9801.166666666666,184794.0,,36.27099990844727,,,,,,
1299.0,1.8315056761105852,9787.839938674342,184931.7805406606,135462.57365692532,36.22308850147197,69.28406466512702,0.866,86.20689655172414,0.696,69.60556844547564,0.862,135376.625,9745.833333333334,184644.0,,,,,,,,
