EDA_mean,EDA_std,PPG_GRN_mean,PPG_GRN_std,PPG_IR_mean,PPG_IR_std,PPG_RED_mean,PPG_RED_std,TEMP1_mean,TEMP1_std,PPG_IR_HR_brut_mean,PPG_IR_HR_brut_std,PPG_IR_HR_brut_rmssd,PPG_GRN_HR_brut_mean,PPG_GRN_HR_brut_std,PPG_GRN_HR_brut_rmssd,PPG_RED_HR_brut_mean,PPG_RED_HR_brut_std,PPG_RED_HR_brut_rmssd,PPG_IR_IBI_brut_mean,PPG_IR_IBI_brut_std,PPG_IR_IBI_brut_rmssd,PPG_GRN_IBI_brut_mean,PPG_GRN_IBI_brut_std,PPG_GRN_IBI_brut_rmssd,PPG_RED_IBI_brut_mean,PPG_RED_IBI_brut_std,PPG_RED_IBI_brut_rmssd,emotion
4.645255304299868,0.03070857864241796,7920.6417980379,51.66762925671794,181219.92791163706,176.70770206389827,135927.3308586404,99.84963313464709,38.00638412982843,0.00819319530552035,71.58069893377917,6.357721414346433,9.452337338297744,79.45277787111546,6.862102355631616,6.665843285519305,82.28637506103746,2.0157755551453227,3.595930340750741,0.8435208333333334,0.07181853941822174,0.10584708900106796,0.7605,0.0742529460694995,0.0722896949779151,0.7295357142857143,0.017864319986258342,0.03191606831466978,2
5.143341368967944,0.06276237002943508,8501.880213473461,281.2546550438569,182004.23325739495,479.2964485861544,136494.5932785861,235.1753627628848,38.07966135205492,0.014966023480007395,65.5428156249346,3.4991945888967386,6.130565676021889,64.71358892404044,3.3064981663658637,4.146412528796744,64.69231620236076,3.3122616583081754,4.146250867975955,0.9175000000000001,0.046523112535598925,0.08231129934583711,0.9291874999999999,0.047605392945547685,0.0588987743930211,0.9295,0.04768542754343301,0.05887274411814011,5
5.309752680817429,0.042692417187162074,7927.7428785119355,65.44227106780663,181002.23087244923,124.10495403278323,136247.5075999674,62.88800534381593,38.108190894703405,0.013629236191332614,78.9534255707138,10.301670418893938,12.690755644409661,69.22097759202761,5.0776285267126555,5.510200208662934,75.77352713826464,9.252055162753038,10.920109272593429,0.7715000000000002,0.10383360085572814,0.11854570145447427,0.8705892857142857,0.0605800397840584,0.06653746594964378,0.8015714285714285,0.09354073469681029,0.10596854879318363,3
5.625897142761632,0.04172300785421416,8001.249301009008,113.38263862103365,181211.4353698103,340.2650493498031,136100.43765255052,71.50317176789949,38.21094906322967,0.023573174264904382,82.23295307233602,4.140728580209043,5.762919672659349,92.93887192775242,8.659409894318662,10.537180813218862,82.29500997899099,4.130812088797498,5.727546577407296,0.7312499999999998,0.038527587518556144,0.052737557774322506,0.650125,0.05854266606501621,0.06814222259363134,0.7306875,0.03835490108838768,0.05233094806135282,6
5.866849844895519,0.017507693174809543,7850.334844278147,114.89163744958445,180833.7143900694,340.19411246280424,136321.09251777024,108.57705341730691,38.298759497490224,0.019664301269508494,66.84632277335241,2.8692975458898795,4.0271608542236335,69.31742654167839,5.4112018879700035,5.161340741970188,69.37077939378905,5.417747254601786,5.158386321445541,0.899,0.03968752952754805,0.05585337948593619,0.87,0.06803308018897865,0.06617250184177714,0.8693333333333332,0.06798725370734329,0.06598939308707118,1
6.06189635611072,0.021073915173294065,7744.897764078526,32.182403501447354,180701.01500330152,121.01904781594547,136542.66983639408,58.685443353517826,38.37995765998471,0.024370831826895176,72.76305006415036,7.105961457568897,8.996236232319028,72.75819598745626,7.11939433873602,8.982881453701292,72.92146987167993,6.962416671121223,8.949964841599202,0.8306666666666667,0.07485096303099026,0.09268872639107736,0.8307500000000001,0.07505581256638291,0.0926180328013935,0.8285833333333334,0.07287277726741768,0.0921262720400647,2
6.1586663963818795,0.021901922280460118,8505.470794844548,200.65941143152637,182740.09267830435,548.7542944699115,137177.21119333795,111.34236504998108,38.37290462927189,0.022764622235500027,72.01856373680313,6.324299748209625,8.909390583633874,72.85908026001447,6.275376991224812,8.660161911377894,71.7815572389119,6.351585639359154,8.968632417051836,0.8379910714285713,0.06486249908230782,0.09003595202056787,0.8283035714285714,0.06516189202761881,0.08805050042447235,0.8408125,0.0652864182372567,0.0910284053079953,2
6.568084149944539,0.022829626450160224,7944.303341747556,90.1481073881214,181089.60923020812,232.22308557578694,136674.5587288211,93.86514906565425,38.38973215787348,0.007923100507753092,64.16928424601278,2.497382071667035,2.5327591413652346,70.58499786704786,4.897472906899314,3.384163170865238,67.08660184175152,4.457477577136578,5.451340911535352,0.9362,0.03769880634715109,0.03817394399325277,0.8533999999999999,0.06057887420545219,0.04205353730662857,0.8973000000000001,0.05521050624654694,0.06840230259282212,2
6.830086327516115,0.028455232097162983,7807.694966383066,35.056249544667914,180824.1575980789,126.09858261691106,136707.6696157225,53.2791932239776,38.45728362806628,0.02971990783736595,70.24222460340987,4.455049478563275,4.797632263502253,72.94280112589674,6.08362168282227,4.265593538033683,70.24466374762467,4.479731271280833,4.828065297150894,0.8570833333333333,0.05483832297460113,0.05891901221167915,0.8273333333333333,0.06889315398983173,0.04693612681080537,0.8570833333333333,0.055096657490873856,0.05921190758622794,2
7.057508910695712,0.03569750618366336,7716.500079207549,181.32070968155503,180855.54128256932,553.0504378689309,136611.25194828436,193.76540282965394,38.51281970259918,0.023079905634874012,75.66145711650329,5.555014093384969,6.625097023732757,73.08099228063483,8.451866189579807,8.897512816399686,73.11444623964908,8.370772026088128,8.814076885501427,0.7963333333333334,0.054426709129495134,0.06514598989960933,0.8301666666666666,0.09558748174665271,0.10258752360789296,0.8295833333333333,0.09436122967970832,0.10120424892266132,6
7.187343636337592,0.025547698279034192,7614.339554043111,59.260728440231006,180550.9297512961,188.8552718938802,136646.26245251528,63.16599103041937,38.5832589670783,0.03430620065382836,87.59235348396535,5.966142665942506,9.368695290921142,84.04919384245034,5.898111791150005,7.766332367687134,84.14131690804223,6.519785331807852,9.582265954047326,0.6877857142857142,0.04794776423607355,0.0743250182195291,0.7167857142857142,0.04857799325385342,0.06455133615967991,0.7167857142857142,0.055843424816517974,0.08329890955668831,6
