Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
0.0,10000.0,9339.0,191104.5,142751.5,,,,,,,,142751.5,9339.0,191104.5,10000.0,,,,,,,
1.0,10000.0,9339.89247311828,191107.25806451615,142751.79569892475,37.44200134277344,,,,,,,142756.0833333333,9352.833333333332,191147.25,,37.44200134277344,,,,,,
167.0,10000.0,9341.619840443982,191112.59625390221,142752.36801942423,37.4395495999244,,,,,,,142760.66666666666,9366.666666666666,191190.0,10000.0,37.40399932861328,,,,,,
233.0,10000.0,9350.246517404586,191129.8050977365,142756.92492139686,37.438481905457884,,,,,,,142823.0,9475.333333333334,191379.33333333334,10000.0,37.42300033569336,,,,,,
266.0,10000.0,9362.225236711818,191161.07573659223,142764.34912001644,37.438481905457884,,,,,,,142872.0,9535.916666666668,191614.5,,,,,,,,
267.0,10000.0,9377.33973756912,191196.32891487662,142774.0685316283,37.44284298380382,,,,,,,142915.0,9596.5,191707.5,10000.0,37.50199890136719,,,,,,
333.0,10000.0,9399.296313639928,191235.307694562,142786.62325001787,37.44284298380382,,,,,,,142968.66666666666,9717.666666666666,191800.5,10000.0,,,,,,,
633.0,10000.0,9410.890099856708,191259.19106910643,142794.5185242103,37.444364295503284,,,,,,,142909.0,9579.0,191605.5,10000.0,37.46500015258789,,,,,,
667.0,10000.0,9416.639125672404,191270.44755927162,142797.36679146555,37.44930852859645,,,,,,,142838.66666666666,9500.0,191433.66666666666,10000.0,37.52099990844727,,,,,,
669.0,10000.0,9420.8882143387,191281.8057812541,142798.92377266134,37.44930852859645,,,,,,,142821.5,9482.5,191446.5,10000.0,,,,,,,
670.0,10000.0,9426.395426316849,191294.70540826998,142800.67062603805,37.45093515621302,,,,,,,142826.0,9506.25,191481.75,10000.0,37.47299957275391,,,,,,
866.0,10000.0,9433.079592360922,191309.04699483322,142802.59510177755,37.45093515621302,,,,,,,142830.5,9530.0,191517.0,10000.0,,,,,,,
966.0,10000.0,9445.375532638713,191334.91493065044,142807.3524070392,37.45093515621302,,,,,,,142876.33333333334,9623.666666666666,191710.0,10000.0,,,,,,,
967.0,10000.0,9460.856681070623,191367.13009641494,142814.7113915313,37.448529212768975,,,,,,,142921.4166666667,9685.333333333332,191834.25,,37.417999267578125,,,,,,
968.0,10000.0,9479.31754035639,191405.28299342043,142824.5042049809,37.45184990871937,,,,,,,142966.5,9747.0,191958.5,10000.0,37.5,,,,,,
1066.0,10000.0,9499.43683882802,191452.16796158688,142834.90715949828,37.45184990871937,,,,,,,142985.75,9791.166666666668,192132.0,,,,,,,,
1067.0,10000.0,9521.107580409009,191490.4151898716,142845.88089114355,37.45515589505315,81.74386920980926,0.734,,,81.74386920980926,0.734,143005.0,9835.333333333334,192045.0,10000.0,37.5,,81.74386920980926,81.74386920980926,,0.734,0.734
1166.0,10000.0,9534.423220382621,191499.74324213798,142851.89932827407,37.45515589505315,81.74386920980926,0.734,,,81.74386920980926,0.734,142939.1666666667,9727.5,191635.0,,,,,,,,
1167.0,10000.0,9539.922797562238,191500.72754909683,142853.28216731016,37.45515589505315,81.74386920980926,0.734,,,81.74386920980926,0.734,142873.33333333334,9619.666666666666,191515.0,10000.0,,,,,,,
1266.0,10000.0,9539.707348257149,191493.3902878648,142850.50052210735,37.45515589505315,81.74386920980926,0.734,,,81.74386920980926,0.734,142810.1666666667,9536.583333333332,191387.0,,,,,,,,
1267.0,10000.0,9534.145583853462,191487.17155961547,142843.8230690682,37.461359431238165,81.74386920980926,0.734,,,81.74386920980926,0.734,142747.0,9453.5,191397.0,10000.0,37.53499984741211,,,,,,
1366.0,10000.0,9528.33511607797,191481.99920093062,142837.4688925692,37.461359431238165,81.74386920980926,0.734,,,81.74386920980926,0.734,142745.3333333333,9444.083333333332,191407.0,,,,,,,,
1367.0,10000.0,9522.291990309499,191477.06376861254,142831.41713605938,37.46263926167216,81.74386920980926,0.734,,,81.74386920980926,0.734,142743.66666666666,9434.666666666666,191405.5,10000.0,37.47999954223633,,,,,,
1466.0,10000.0,9518.020464052974,191475.67255773433,142825.19667566847,37.46263926167216,81.74386920980926,0.734,,,81.74386920980926,0.734,142735.0,9456.083333333332,191455.5,,,,,,,,
1467.0,10000.0,9515.406240565686,191479.40873680523,142820.8614062705,37.46946139102447,81.74386920980926,0.734,,,81.74386920980926,0.734,142758.0,9477.5,191533.5833333333,10000.0,37.5620002746582,,,,,,
1566.0,10000.0,9519.53056913134,191487.9415064737,142818.7413155434,37.46946139102447,81.74386920980926,0.734,,,81.74386920980926,0.734,142788.0,9579.333333333334,191611.66666666666,,,,,,,,
