situationoeil,timestamp,emotionsResentis,commentaires
"false",39467,"Surprise",""
"false",111532,"Tristesse",""
"false",143346,"Tristesse",""
"false",155131,"Tristesse",""
"false",167268,"Peur",""
"undefined",180255,"Dégout",""
"undefined",192428,"Peur",""
"undefined",210275,"Joie",""
"undefined",223872,"Dégout",""
"undefined",232987,"Tristesse",""
"undefined",242726,"Peur",""
"undefined",252567,"Dégout",""
"undefined",263252,"Joie",""
"undefined",273893,"Surprise",""
"undefined",284638,"Surprise",""
"undefined",303835,"Joie",""
"undefined",314558,"Surprise",""
"undefined",328170,"Joie",""
"undefined",337540,"Surprise",""
"undefined",361187,"Joie",""
