Type,Time,Data
EDA,513609.3535094,0.4019469916820526
PPG_IR,513609.4541758,196014.0
PPG_RED,513609.4545685,121290.0
PPG_RED,513609.4546598,121301.0
PPG_GRN,513609.4548374,8134.0
PPG_IR,513609.4543775,196021.0
EDA,513609.455169,0.4020169973373413
PPG_IR,513609.4544886,196072.0
PPG_RED,513609.4547124,121302.0
PPG_GRN,513609.4549636,8122.0
PPG_GRN,513609.4550758,8120.0
TEMP1,513609.7214772,36.58700180053711
EDA,513609.7213722,0.4021559953689575
PPG_IR,513609.7208543,196114.0
PPG_RED,513609.7210151,121300.0
PPG_GRN,513609.7212448,8145.0
EDA,513609.7214197,0.40234100818634033
PPG_GRN,513609.7213179,8136.0
PPG_IR,513609.7209415,196152.0
218994
PPG_GRN,513609.7238668,8137.0
TEMP1,513609.7240432,36.46699905395508
PPG_IR,513609.7236374,196162.0
PPG_RED,513609.7211356,121309.0
PPG_GRN,513609.7239063,8133.0

PPG_RED,513609.7237891,121334.0
PPG_GRN,513609.723946,8154.0
PPG_RED,513609.723825,121340.0
PPG_IR,513609.7236768,196213.0
PPG_IR,513609.7237143,196239.0
PPG_RED,513609.7541269,121320.0
TEMP1,513609.7548667,36.415000915527344
EDA,513609.7545011,0.40250399708747864
PPG_GRN,513609.7543314,8130.0
PPG_IR,513609.7538868,196209.0
PPG_IR,513609.7539358,196055.0
PPG_RED,513609.7542205,121308.0
EDA,513609.7546503,0.40271300077438354
PPG_GRN,513609.7544026,8131.0
PPG_IR,513609.8538542,195909.0
EDA,513609.854937,0.40287598967552185
PPG_IR,513609.8540129,195798.0
PPG_GRN,513609.8544516,8127.0
PPG_GRN,513609.8547206,8097.0
PPG_RED,513609.8542028,121271.0
PPG_RED,513609.8542936,121251.0
PPG_IR,513609.8540954,195772.0
PPG_GRN,513609.8548309,8088.0
PPG_RED,513609.8543605,121231.0
PPG_GRN,513609.958634,8092.0
TEMP1,513609.9588256,36.4630012512207
