situationoeil,timestamp,emotionsResentis,commentaires
"false",35975,"Surprise",""
"true",53373,"Dégout",""
"true",67133,"Dégout",""
"true",81409,"Peur",""
"false",102487,"Tristesse",""
"undefined",114620,"Tristesse",""
"undefined",127492,"Dégout",""
"undefined",137452,"Dégout",""
"undefined",149294,"Dégout",""
"undefined",159222,"Peur",""
"undefined",171906,"Tristesse",""
"undefined",188797,"Surprise",""
"undefined",200819,"Joie",""
"undefined",212099,"Joie",""
"undefined",222520,"Joie",""
"undefined",233630,"Joie",""
"undefined",246286,"Joie",""
"undefined",257857,"Joie",""
"undefined",267968,"Surprise",""
"undefined",277778,"Surprise",""
