Type,Time,Data
EDA,1484284.2875003,2.124691963195801
PPG_RED,1484284.2872298,138866.0
76367
PPG_GRN,1484284.287344,9033.0
TEMP1,1484284.2889799,34.9900016784668
PPG_GRN,1484284.2874114,9091.0
PPG_IR,1484284.287099,187216.0
PPG_GRN,1484284.2874529,9137.0
PPG_RED,1484284.287269,138901.0
PPG_GRN,1484284.2887872,9153.0
PPG_IR,1484284.2871496,187336.0
PPG_RED,1484284.2873021,138943.0
166
EDA,1484284.2889163,2.131187915802002
PPG_GRN,1484284.2888302,9101.0
PPG_RED,1484284.2887113,138933.0
PPG_IR,1484284.2871869,187440.0
PPG_RED,1484284.2887473,138893.0
PPG_IR,1484284.2886371,187357.0
PPG_GRN,1484284.354469,9023.0
PPG_IR,1484284.2886745,187172.0
EDA,1484284.3547098,2.1233971118927
PPG_RED,1484284.3542164,138847.0
PPG_GRN,1484284.3545658,8963.0
PPG_IR,1484284.3540378,187035.0
PPG_RED,1484284.3542688,138819.0
PPG_GRN,1484284.3546381,8908.0
TEMP1,1484284.4553481,35.06700134277344
PPG_IR,1484284.3541068,186918.0
PPG_RED,1484284.3543627,138799.0
PPG_GRN,1484284.4548415,8859.0
PPG_IR,1484284.3541577,186825.0
EDA,1484284.4549805,2.127281904220581
PPG_IR,1484284.4541025,186772.0
EDA,1484284.4551577,2.1259829998016357
PPG_GRN,1484284.4549095,8847.0
PPG_RED,1484284.4545475,138763.0
PPG_IR,1484284.4543731,186789.0
PPG_RED,1484284.4546675,138771.0
PPG_IR,1484284.553648,186784.0
EDA,1484284.5540763,2.1279349327087402
TEMP1,1484284.554144,34.95800018310547
PPG_RED,1484284.5537763,138761.0
PPG_IR,1484284.5536976,186802.0
PPG_GRN,1484284.5538889,8848.0
PPG_RED,1484284.5538155,138747.0
PPG_GRN,1484284.553929,8858.0
PPG_IR,1484284.5537336,186816.0
PPG_RED,1484284.5538495,138759.0
PPG_GRN,1484284.5539979,8868.0
PPG_GRN,1484284.7880676,8886.0
PPG_RED,1484284.787782,138774.0
PPG_IR,1484284.7875169,186870.0
TEMP1,1484284.788533,34.94599914550781
EDA,1484284.7883599,2.1285829544067383
PPG_GRN,1484284.7882071,8915.0
PPG_IR,1484284.7876155,186935.0
EDA,1484284.7884418,2.133794069290161
PPG_RED,1484284.7879619,138792.0
PPG_IR,1484284.7905559,187012.0
PPG_GRN,1484284.7909837,8943.0
PPG_RED,1484284.790768,138820.0
TEMP1,1484284.8545452,34.97700119018555
PPG_GRN,1484284.7910685,8979.0
EDA,1484284.7912246,2.1279349327087402
PPG_RED,1484284.7908372,138849.0
EDA,1484284.8544039,2.129884958267212
PPG_IR,1484284.7906247,187055.0
PPG_GRN,1484284.7911393,9007.0
PPG_IR,1484284.7906879,187173.0
EDA,1484284.854466,2.125338077545166
PPG_GRN,1484284.854283,9072.0
TEMP1,1484284.954825,34.95399856567383
PPG_RED,1484284.7909015,138885.0
EDA,1484284.9547207,2.131187915802002
PPG_GRN,1484284.8543402,9095.0
PPG_IR,1484284.8540392,187249.0
PPG_RED,1484284.8541692,138923.0
PPG_IR,1484284.854108,187349.0
PPG_GRN,1484284.9544664,9127.0
TEMP1,1484285.0541538,34.97999954223633
EDA,1484285.0540404,2.133794069290161
PPG_IR,1484284.9539886,187394.0
PPG_GRN,1484284.9545424,9134.0
PPG_RED,1484284.8542241,138941.0
EDA,1484285.0540906,2.1429810523986816
PPG_GRN,1484284.9546195,9058.0
PPG_IR,1484284.954067,187240.0
PPG_IR,1484284.9541257,187054.0
PPG_GRN,1484285.0539172,8985.0
PPG_RED,1484284.9542324,138976.0
EDA,1484285.1540709,2.1396920680999756
PPG_IR,1484285.0537239,186974.0
PPG_GRN,1484285.0539589,8947.0
PPG_IR,1484285.0537688,186888.0
PPG_RED,1484284.9543107,138935.0
PPG_GRN,1484285.153951,8900.0
PPG_IR,1484285.15372,186848.0
PPG_RED,1484284.9543774,138890.0
TEMP1,1484285.2540901,35.027000427246094
EDA,1484285.2539631,2.139030933380127
PPG_IR,1484285.1537657,186858.0
PPG_RED,1484285.0538081,138853.0
PPG_GRN,1484285.1539912,8896.0
PPG_RED,1484285.0538781,138814.0
PPG_GRN,1484285.1540267,8888.0
PPG_IR,1484285.1538009,186870.0
EDA,1484285.2540099,2.13053297996521
PPG_GRN,1484285.2538727,8891.0
PPG_RED,1484285.1538417,138783.0
PPG_GRN,1484285.2539163,8905.0
EDA,1484285.3550066,2.131187915802002
TEMP1,1484285.3551355,34.941001892089844
PPG_IR,1484285.2536425,186869.0
PPG_RED,1484285.1538786,138806.0
PPG_IR,1484285.253693,186889.0
PPG_GRN,1484285.3547684,8926.0
PPG_IR,1484285.3543294,186917.0
PPG_RED,1484285.1539116,138794.0
PPG_IR,1484285.3544109,186982.0
PPG_IR,1484285.354479,187033.0
PPG_RED,1484285.2537801,138800.0
EDA,1484285.4550743,2.1285829544067383
PPG_IR,1484285.4543225,187134.0
TEMP1,1484285.4553103,34.9739990234375
PPG_GRN,1484285.3548484,8939.0
PPG_RED,1484285.2538282,138786.0
EDA,1484285.4551767,2.131838083267212
PPG_GRN,1484285.3549195,8978.0
PPG_RED,1484285.3545543,138811.0
PPG_RED,1484285.3546254,138812.0
PPG_IR,1484285.4544411,187216.0
