situationoeil,timestamp,emotionsResentis,commentaires
"false",35259,"Joie",""
"true",66289,"Tristesse",""
"false",84343,"Tristesse",""
"false",98303,"Joie",""
"true",120338,"Tristesse",""
"false",132202,"Tristesse",""
"true",143316,"Tristesse",""
"false",155592,"Surprise",""
"false",169791,"Joie",""
"true",194235,"Joie",""
"undefined",217021,"Tristesse",""
"undefined",235300,"Joie",""
"undefined",245774,"Joie",""
"undefined",259003,"Joie",""
"undefined",268974,"Joie",""
"undefined",280225,"Joie",""
"undefined",294226,"Joie",""
"undefined",303223,"Joie",""
"undefined",314867,"Joie",""
"undefined",328894,"Tristesse",""
