Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
0.0,,,154250.0,,,,,,,,,,,154250.0,,,,,,,,
1.0,0.8343150019645691,,154251.24731182796,,,,,,,,,,,154269.3333333333,0.8343150019645691,,,,,,,
32.0,0.8343150019645691,13648.333333333334,154253.66146375303,134186.66666666666,,,,,,,,134186.66666666666,13648.333333333334,154288.66666666666,,,,,,,,
33.0,0.8343150019645691,13646.161290322581,154251.64029404853,134186.01612903224,,,,,,,,134176.5833333333,13614.666666666668,154222.3333333333,0.8343150019645691,,,,,,,
36.0,0.8343150019645691,13641.957336108222,154245.46995249702,134184.7570239334,,,,,,,,134166.5,13581.0,154156.0,0.8343150019645691,,,,,,,
37.0,0.8341150283813477,13634.943959585113,154236.20307384132,134181.7995815291,34.39500045776367,,,,,,,134138.9166666667,13533.25,154101.8333333333,0.8341150283813477,34.39500045776367,,,,,,
132.0,0.8342816829681396,13625.302413805428,154224.03943466878,134177.2533719681,34.3942261972735,,,,,,,134111.33333333334,13485.5,154047.66666666666,,34.382999420166016,,,,,,
232.0,0.8344483375549316,13616.863548398627,154215.64979372243,134173.72089635726,34.3942261972735,,,,,,,134122.5,13494.5,154094.0,,,,,,,,
233.0,0.8346149921417236,13609.549771082588,154208.2960435898,134170.71202132347,34.395583967582866,,,,,,,134127.0833333333,13503.5,154101.6666666667,0.8346149921417236,34.41400146484375,,,,,,
565.0,0.8347150087356567,13604.611076174035,154201.9113526055,134168.19296618432,34.395583967582866,,,,,,,134131.66666666666,13533.0,154109.33333333334,,,,,,,,
566.0,0.8348150253295898,13599.732942227323,154196.41169544816,134166.04790026564,34.395583967582866,,,,,,,134134.94444444444,13529.0,154116.6666666667,0.8348150253295898,,,,,,,
598.0,0.8348150253295898,13595.943720148141,154191.7399731612,134164.2526952306,34.395583967582866,,,,,,,134138.22222222222,13541.0,154124.0,,,,,,,,
599.0,0.8348150253295898,13593.17315755794,154189.60621145187,134162.78477940927,34.38706970391728,,,,,,,134141.5,13553.0,154158.6666666667,0.8348150253295898,34.2859992980957,,,,,,
602.0,0.8349645137786865,13592.710373199363,154189.84667092812,134162.49758933985,34.38706970391728,,,,,,,134158.33333333334,13586.0,154193.33333333334,,,,,,,,
603.0,0.8351140022277832,13593.567768476825,154191.72215452418,134163.040755619,34.386035130860776,,,,,,,134170.9166666667,13606.0,154218.9166666667,0.8351140022277832,34.37200164794922,,,,,,
665.0,0.8353149890899658,13596.885976962192,154195.12717681294,134164.3607068694,34.38983929627778,,,,,,,134183.5,13645.0,154244.5,0.8353149890899658,34.44499969482422,,,,,,
765.0,0.8353149890899658,13601.344946190438,154200.25875680352,134166.14388707138,34.38983929627778,,,81.85538881309687,0.733,,,134192.0,13666.0,154274.66666666666,0.8353149890899658,,81.85538881309687,,,0.733,,
998.0,0.8355655074119568,13598.451723855573,154194.4356112033,134165.6829911313,34.39088014671763,,,81.85538881309687,0.733,,,134159.0,13556.5,154110.0,0.8355655074119568,34.404998779296875,,,,,,
1032.0,0.8356907665729523,13592.379569628332,154186.34299112568,134162.37010998305,34.39088014671763,,,81.85538881309687,0.733,,,134114.33333333334,13504.333333333334,154069.0,,,,,,,,
1033.0,0.8358160257339478,13588.107769437258,154180.64344331113,134159.67956525297,34.39555723220869,,,81.85538881309687,0.733,,,134120.6666666667,13526.166666666668,154098.0,0.8358160257339478,34.45899963378906,,,,,,
1035.0,0.8359160125255585,13585.520171409049,154177.18257600075,134157.5712062044,34.39555723220869,,,81.85538881309687,0.733,,,134127.0,13548.0,154127.0,,,,,,,,
1036.0,0.8360159993171692,13583.325321640725,154173.94499045232,134155.88919290088,34.40149228769759,,,81.85538881309687,0.733,,,134131.5,13551.5,154127.0,0.8360159993171692,34.48199844360352,,,,,,
1132.0,0.8360159993171692,13581.497881534871,154170.9162813909,134154.60601916534,34.40149228769759,,,81.85538881309687,0.733,,,134136.0,13555.0,154127.0,0.8360159993171692,,,,,,,
1231.0,0.836166501045227,13581.239953693912,154171.54533850547,134153.76046954177,34.40149228769759,,,81.85538881309687,0.733,,,134141.5,13577.5,154180.66666666666,,,,,,,,
1232.0,0.8363170027732849,13582.450279262048,154173.93488655888,134153.64689086165,34.40291741710431,,,81.85538881309687,0.733,,,134152.0,13600.0,154208.5833333333,0.8363170027732849,34.42100143432617,,,,,,
1365.0,0.8363170027732849,13586.679293503206,154177.97134549057,134155.02451080608,34.40240664553395,,,81.85538881309687,0.733,,,134175.0,13648.0,154236.5,0.8363170027732849,34.39500045776367,,,,,,
1432.0,0.8363420069217682,13591.742994997623,154184.03771029765,134156.8938972057,34.40240664553395,89.95502248875562,0.667,82.75976959313847,0.7256306381408179,,,134184.0,13665.166666666668,154272.0,,,89.95502248875562,,89.95502248875562,0.667,,0.667
1433.0,0.8363670110702515,13597.587532954765,154186.78796554726,134157.64267803117,34.40240664553395,89.95502248875562,0.667,82.75976959313847,0.7256306381408179,89.82035928143712,0.668,134168.5,13682.333333333334,154226.66666666666,0.8363670110702515,,,89.82035928143712,,,0.668,
1434.0,0.8364506761233012,13601.818444807146,154186.43605379155,134157.34315041627,34.40106197057126,89.95502248875562,0.667,82.75976959313847,0.7256306381408179,89.82035928143712,0.668,134153.0,13663.166666666668,154181.33333333334,,34.38399887084961,,,,,,
